text,speaker
" Good evening. My story, from secretary to CEO, is only possible in this nation, and proves that everyone of us has potential. My husband, Frank, of 30 years, started out driving a tow truck for a family owned auto body shop. We have come to a pivotal point in our nations history where this nations possibilities and potential are being crushed by a government grown so big, so powerful, so inept, so corrupt, and a political class that refuses to do anything about it. I am prepared to lead the resurgence of this great nation.",FIORINA
" Hello, Im John Kasich, the Governor of Ohio. Emma, and Reese, my children, and Karen, love ya girls. Thanks for watching tonight. By the way, I think I actually flew on this plane with Ronald Reagan when I was a congressman, and his goals, and mine, really much  are pretty much the same. Lift Americans, unify, give hope, grow America, and restore it is to that great, shining city on a hill. Yes, he was a great one, and I learned much from watching him. The most important thing, hope to Americans, unify, lift everyone in America.",KASICH
" Hi, my name is Chris Christie, and Id like to you take the camera off me and put it on the audience because Id like to ask all of you, how many of you, raise your hand, believe that in todays Barak Obama America your children will have a better life than youve had? You see? Thats why Im running for President. because leadership is not about me, its about our country. And, what we talk about tonight, its not about us, its about the people in the audience tonight, because in seven short years this president has stripped away their trust, and their faith, and their belief that the next generation will have a better life. Hes stolen that from us, and when Im president, Im going to take it back.",CHRISTIE
" Thank you one and all for being here. There are many important policy issues facing our nation. Were going to get to many of them tonight, but I do want to start off with some current events in the news, and also some of the comments the candidates have recently made on the campaign trail.",TAPPER
" Mrs. Fiorina, I want to start with you. Fellow Republican candidate, and Louisiana Governor Bobby Jindal, has suggested that your partys frontrunner, Mr. Donald Trump, would be dangerous as President. He said he wouldnt want, quote, such a hot head with his finger on the nuclear codes. You, as well, have raised concerns about Mr. Trumps temperament. Youve dismissed him as an entertainer. Would you feel comfortable with Donald trumps finger on the nuclear codes?",TAPPER
" You know, I think Mr. Trump is a wonderful entertainer. Hes been terrific at that business. I also think that one of the benefits of a presidential campaign is the character and capability, judgment and temperament of every single one of us is revealed over time and under pressure. All of us will be revealed over time and under pressure. I look forward to a long race.",FIORINA
 You didnt answer my question. Would you feel comfortable with Donald Trumps finger on the nuclear codes? Its an issue that one of your fellow candidates has raised.,TAPPER
" Thats not for me to answer; it is for the voters of this country to answer, and I have a lot of faith in the common sense and good judgment of the voters of the United States of America.",FIORINA
 Mr. Trump?,TAPPER
" Well, first of all, Rand Paul shouldnt even be on this stage. Hes number 11, hes got 1 percent in the polls, and how he got up here, theres far too many people anyway. As far as temperament  and we all know that  as far as temperament, I think I have a great temperament. I built a phenomenal business with incredible, iconic assets, one of the really truly great real-estate businesses. And I may be an entertainer, because Ive had tremendous success with number-one bestsellers all over the place, with The Apprentice and everything else Ive done. But I will tell you this: What I am far and away greater than an entertainer is a businessman, and thats the kind of mindset this country needs to bring it back, because we owe $19 trillion right now, $19 trillion, and you need this kind of thinking to bring our country back. And believe me, my temperament is very good, very calm. But we will be respected outside of this country. We are not respected now.",TRUMP
" Mr.  Senator Paul, your name has been invoked.",TAPPER
" I kind of have to laugh when I think of, Mmm, sounds like a non sequitur. He was asked whether or not he would be capable and it would be in good hands to be in charge of the nuclear weapons, and all of a sudden, theres a sideways attack at me. I think that really goes to really the judgment. Do we want someone with that kind of character, that kind of careless language to be negotiating with Putin? Do we want someone like that to be negotiating with Iran? I think really theres a sophomoric quality that is entertaining about Mr. Trump, but I am worried. Im very concerned about him  having him in charge of the nuclear weapons, because I think his response, his  his visceral response to attack people on their appearance  short, tall, fat, ugly  my goodness, that happened in junior high. Are we not way above that? Would we not all be worried to have someone like that in charge of the nuclear arsenal?",PAUL
 Mr. Trump?,TAPPER
" I never attacked him on his look, and believe me, theres plenty of subject matter right there. (LAUGHTER) That I can tell you.",TRUMP
" But Jake, Jake, Jake, Jake",WALKER
 I want to  I want to give Mr. Trump,TAPPER
" But Jake, this  this is  this",WALKER
"  Mr. Trump, I want to give you another chance  Mr. Trump, I want to give you a chance to respond to something that your rival to your left, Governor Bush, said. Governor Bush told me last week when I read him the quote from Governor Jindal that he agrees youre not a serious candidate. Tell Governor Bush why you are a serious candidate and what your qualifications are to be commander-in-chief. TRUMP: Ive actually been in politics all my life, although Ive been on that side as opposed to this side. Im now a politician for about three months. Obviously, Im doing pretty well. Im number one in every polls (sic) by a lot. But the qualification is that Ive dealt with people all over the world, been successful all over the world. Everything Ive done virtually has been a tremendous success. When markets changed, when things turned, I heard Governor Pataki, who, by the way, was a failed governor in New York, a very seriously failed  he wouldnt be elected dog catcher right now. I heard what he had to say. And I will tell you this: Atlantic City, Ive made a tremendous amount of money in Atlantic City. I left seven years ago, Ive gotten great credit for my timing, and thats what Im all about. Im a businessman, did really well, really well, and Jeb, what I want to do is put that ability into this country to make our country rich again. And I can do that, and Im not sure that anybody else in the group will be able to do that.",TAPPER
" Governor Bush, would you feel comfortable with Donald Trumps finger on the nuclear codes?",TAPPER
" I think the voters will make that determination. But what I know to be true is that the next president of the United States is going to have to fix an extraordinary difficult situation. This administration, with President Obama and Hillary Clinton, has created insecurity the likes of which we never wouldve imagined. Theres not a place in the world where were better off today than six and a half years ago. And that requires a steadiness. That requires an understanding of how the world works. That requires an understanding and appreciation of American leadership in the world. You cant just, you know, talk about this stuff and insult leaders around the world and expect a good result. You have to do this with a steady hand, and I believe I have those skills. WALKER Jake, this is  this is  this is",BUSH
" But I have to say WALKER This is actually whats wrong  this is whats wrong with this debate. Were not talking about real issues. And Mr. Trump, we dont need an apprentice in the White House. We dont need an apprentice in the White House. We have one right now. He told us all the things we wanted to hear back in 2008. We dont know who you are or where youre going. We need someone who can actually get the job done. And you talked about business.",TRUMP
" Well, in Wisconsin WALKER You  you  let me finish",TRUMP
" Excuse me. WALKER No, no",TRUMP
" In Wisconsin, youre losing $2.2 billion right now. WALKER Youre using the talking",TRUMP
" I would do so much better than that. WALKER Mr. Trump, youre using the talking points of the Democrats",TRUMP
 No. WALKER  and as we all know,TRUMP
" Im using facts. WALKER  that failed three times in four and a half years when I got elected, because it is working. We balanced a budget. You want to talk about balanced budgets? You took four major projects into bankruptcy over and over and over again. You cant take America into bankruptcy. Thats whats wrong with the politicians in Washington right now. They think we can take a country into bankruptcy. (CROSSTALK)",TRUMP
" Every major business leader has used the  I never went bankrupt, by the way, as you know, everybody knows. But we  hundreds of companies, hundreds of deals, Ive used",TRUMP
" Thank you, Dr. Carson.",TAPPER
" See, Jake, it wasnt me. (LAUGHTER)",CHRISTIE
" Jake, Ill tell you  Ill tell you why people are supporting outsiders. Its because you know what happens if someones been in the system their whole life, they dont know how broken the system is. A fish swims in water, it doesnt know its water. Its not that politicians are bad people, its that theyve been in that system forever. The truth is 75 percent of the American people think the government is corrupt; 82 percent of the American people think these problems that have festered for 50 years in some cases, 25 years in other cases. The borders been insecure for 25 years; 307,000 veterans have died waiting for health care. These things have gone on for so long because no one will challenge the status quo. You know what a leader does? They challenge the status quo, they solve problems that have festered for a long time and they produce results. That is what my whole life has been about. People know this is about far more than replacing a D with an R ",FIORINA
 Thank you.,TAPPER
  this is about changing the system.,FIORINA
" Thank you. Thank you Ms. Fiorina. Governor Bush, in addition to the fact that hes an outsider, one of the reasons Mr. Trump is a frontrunner, Republican voters say, is because they like the fact that he is not bought and paid for by wealthy donors. Mr. Trump has repeatedly said that the $100 million youve raised for your campaign makes you a puppet for your donors. Are you?",TAPPER
" No. Absolutely not. People are supporting me because I have a proven record of conservative leadership where I cut taxes $19 billion over eight years. We shrunk the state government workforce, we created a climate that led the nation in job growth seven out of eight years. We were one of two states to go to AAA bond rating. People know that we need principle-centered leadership, a disrupter to go to Washington, D.C. The one guy that had some special interests that I know of that tried to get me to change my views on something  that was generous and gave me money  was Donald Trump. He wanted casino gambling in Florida ",BUSH
 I didnt ,TRUMP
 Yes you did.,BUSH
 Totally false.,TRUMP
 You wanted it and you didnt get it because I was opposed to ,BUSH
 I would have gotten it.,TRUMP
  casino gambling before ,BUSH
 I promise I would have gotten it.,TRUMP
 during and after. And thats not  Im not going to be bought by anybody.,BUSH
" I promise if I wanted it, I would have gotten it.",TRUMP
 No way. Believe me.,BUSH
 I know my people.,TRUMP
 Not even possible.,BUSH
 I know my people.,TRUMP
 Is there anything else you want to say about this?,TAPPER
" No. I just will tell you that, you know, Jeb made the statement. Im not only referring to him. I  a lot of money was raised by a lot of different people that are standing up here. And the donors, the special interests, the lobbyists have very strong power over these people. Im spending all of my money, Im not spending  Im not getting any  I turned down  I turn down so much, I could have right now from special interests and donors, I could have double and triple what hes got. Ive turned it down. I turned down last week $5 million from somebody. So I will tell you I understand the game, Ive been on the other side all of my life. And they have a lot of control over our politicians. And I dont say that favorably, and Im not sure if theres another system, but I say this. I am not accepting any money from anybody. Nobody has control of me other than the people of this country. Im going to do the right thing.",TRUMP
" Governor  BUSH: Youve got, according to your  to what you said on one of the talk shows, you got Hillary Clinton to go to your wedding ",TAPPER
 Thats true. Thats true.,TRUMP
  because you gave her money. Maybe it works for Hillary Clinton ,BUSH
" I was  excuse me, Jeb.",TRUMP
  it doesnt work for anybody on this  on stage.,BUSH
" I was a businessman, I got along with Clinton, I got along with everybody. That was my job, to get along with people.",TRUMP
 But the simple fact is ,BUSH
 I didnt want to  excuse me. One second.,TRUMP
" No. The simple fact is, Donald, you could not take ",BUSH
" OK, more energy tonight. I like that. (LAUGHTER) Look ",TRUMP
 I was asked the question.,BUSH
" I didnt want  it was my obligation as a businessman to my family, to my company, to my employees, to get along with all politicians. I get along with all of them, and I did a damn good job in doing it. Go ahead.",TRUMP
" So he supports Pelosi, he supports Schumer, he supports Clinton ",BUSH
 Got along with everybody.,TRUMP
" When he  and he  when he asked  when he asked Florida to have casino gambling, we said no.",BUSH
 Wrong.,TRUMP
 We said no. And thats the simple fact. The simple fact is ,BUSH
" Dont make things up. Jeb, dont make things up. Come on.",TRUMP
 Dont cut me off.,BUSH
 Dont make things up.,TRUMP
" Jake, can I say something about that?",CARSON
 Sure Dr. Carson.,TAPPER
" You know, when I entered this race, all the political pundits said its impossible; you cant do it because youre not connected with the money. And theres no way that you can raise what you need in order to compete successfully. I in no way am willing to get in the bed with special interest group or lick the boots of billionaires. I have said to the people if they want me to do this, please get involved. And we now have over 500,000 donations, and the money is coming in. But the pundits forgot about one thing, and that is the people. And they are really in charge.",CARSON
" Thank you, Dr. Carson. Lets move to Russia if we could. Russia is sending troops and tanks into Syria right now to prop up a U.S. enemy, Bashar al-Assad. President Obamas incoming top general says, quote, Russia presents the greatest threat to our national security. Mr. Trump, you say you can do business with President Vladimir Putin, you say you will get along, quote, very well. What would you do right now if you were president, to get the Russians out of Syria?",TAPPER
" So, number one, they have to respect you. He has absolutely no respect for President Obama. Zero. Syrias a mess. You look at whats going on with ISIS in there, now think of this: were fighting ISIS. ISIS wants to fight Syria. Why are we fighting ISIS in Syria? Let them fight each other and pick up the remnants. I would talk to him. I would get along with him. I believe  and I may be wrong, in which case Id probably have to take a different path, but I would get along with a lot of the world leaders that this country is not getting along with. We dont get along with China. We dont get along with the heads of Mexico. We dont get along with anybody, and yet, at the same time, they rip us left and right. They take advantage of us economically and every other way. We get along with nobody. I will get along  I think  with Putin, and I will get along with others, and we will have a much more stable  stable world.",TRUMP
" So, you  just to clarify, the only answer I heard to the question I asked is that you would  you would reach out to Vladimir Putin, and you would do what? You would",TAPPER
" I believe that I will get along  we will do  between that, Ukraine, all of the other problems, we wont have the kind of problems that our country has right now with Russia and many other nations. TAPPER: Senator Rubio, youve taken a very different approach to the  the question of Russia. Youve called Vladimir Putin a, quote, gangster. Why would President Rubios approach be more effective than President Trumps?",TRUMP
" Well, first of all, I have an understanding of exactly what it is Russia and Putin are doing, and its pretty straightforward. He wants to reposition Russia, once again, as a geopolitical force. He himself said that the destruction of the Soviet Union  the fall of the Soviet Union was the greatest geopolitical catastrophe of the 20th century, and now hes trying to reverse that. Hes trying to destroy NATO. And this is what this is a part of. He is exploiting a vacuum that this administration has left in the Middle East. Heres what youre gonna see in the next few weeks: the Russians will begin to fly  fly combat missions in that region, not just targeting ISIS, but in order to prop up Assad. He will also, then, turn to other countries in the region and say, America is no longer a reliable ally, Egypt. America is no longer a reliable ally, Saudi Arabia. Begin to rely on us. What he is doing is he is trying to replace us as the single most important power broker in the Middle East, and this president is allowing it. That is what is happening in the Middle East. Thats whats happening with Russia, and",RUBIO
" Thank you, Senator Rubio. (CROSSTALK)",TAPPER
 I want to bring in Carly Fiorina.,TAPPER
 Having,FIORINA
" Ms. Fiorina, you have met",TAPPER
" Having met Vladimir Putin, if I may",FIORINA
" yeah, youve met Vladimir Putin. Yes.",TAPPER
" Having met Vladimir Putin, I wouldnt talk to him at all. Weve talked way too much to him. What I would do, immediately, is begin rebuilding the Sixth Fleet, I would begin rebuilding the missile defense program in Poland, I would conduct regular, aggressive military exercises in the Baltic states. Id probably send a few thousand more troops into Germany. Vladimir Putin would get the message. By the way, the reason it is so critically important that every one of us know General Suleimanis name is because Russia is in Syria right now, because the head of the Quds force traveled to Russia and talked Vladimir Putin into aligning themselves with Iran and Syria to prop up Bashar al- Assad. Russia is a bad actor, but Vladimir Putin is someone we should not talk to, because the only way he will stop is to sense strength and resolve on the other side, and we have all of that within our control. We could rebuild the Sixth Fleet. I will. We havent. We could rebuild the missile defense program. We havent. I will. We could also, to Senator Rubios point, give the Egyptians what theyve asked for, which is intelligence. We could give the Jordanians what theyve asked for",FIORINA
" Thank you, Ms. Fiorina.",TAPPER
 bombs and materiel. We have not supplied it,FIORINA
 Thank you.,TAPPER
 I will. We could arm the Kurds. Theyve been asking us for three years. All of this is within our control.,FIORINA
" Thank you. Thank you, Ms. Fiorina. While youre  while you brought up the subject of General Suleimani of the Quds forces from Iran, the next president, no matter who he or she may be, will inherit President Obamas Iran deal. Senator Cruz, Governor Kasich says that anyone who is promising to rip up the Iran deal on day one, as you have promised to do, is, quote, inexperienced, and, quote, playing to a crowd. Respond to Governor Kasich, please.",TAPPER
" Well, let me tell you, Jake, the single biggest national security threat facing America right now is the threat of a nuclear Iran. Weve seen six and a half years of President Obama leading from behind. Weakness is provocative, and this Iranian nuclear deal is nothing short of catastrophic. This deal, on its face, will send over $100 billion to the Ayatollah Khamenei, making the Obama administration the worlds leading financier of radical Islamic terrorism.",CRUZ
" This deal abandons four American hostages in Iran, and this deal will only accelerate Irans acquiring nuclear weapons. Youd better believe it. If I am elected president, on the very first day in office, I will rip to shreds this catastrophic Iranian nuclear deal.",CRUZ
" Why is that not, as Governor Kasich says, playing to the crowd and an example of you being inexperienced?",TAPPER
" Well, lets be clear when it comes to experience. What President Obama wants to do is hes run to the United Nations, and he wants to use the United Nations to bind the United States, and take away our sovereignty. Well, I spent five and a half years as a Solicitor General of Texas, the lead lawyer for the state, in front of the U.S. Supreme Court, and I went in front of the Supreme Court, and took on the world court of the United Nations in a case called Medellin v. Texas, and we won a historic victory saying the World Court, and the U.N., has no power to bind the United States, and no President of the United States, Republican or Democrat, has the authority to give away our sovereignty. And, so, if theres anyone up here who would be bound by this catastrophic deal with Iran, theyre giving up the core responsibility of commander in chief, and as president, I would never do that.",CRUZ
 Governor Kasich,TAPPER
" Yeah, well",KASICH
 Did Senator Cruz just play to the crowd?,TAPPER
" Well, let me just say this. First of all, I think its a bad agreement, I would never have done it. But, you know, a lot of our problems in the world today is that we dont have the relationship with our allies. If we want to go everywhere alone, we will not have the strength as (ph) if we could rebuild with our allies. Now, this agreement, we dont know whats going to happen in 18 months. I served on the Defense Committee for 18 years. Ive seen lots of issues in foreign affairs, and foreign  in terms of global politics, you have to be steady. Now, heres the  if they cheat, we slap the sanctions back on. If they help Hamas, and Hezbollah, we slap the sanctions back on. And, if we find out that they may be developing a nuclear weapon, than the military option is on the table. We are stronger when we work with the Western civilization, our friends in Europe, and just doing it on our own I dont think is the right policy.",KASICH
" Thank you, Governor. I want to go to Senator Paul. TRUMP(?): Slow (ph) and steady, (inaudible) chicken",TAPPER
" I want to go to Senator Paul. Senator Paul, the White House is rolling out the red carpet next week for the President of China, President Xi. Governor Walker says that President Obama should cancel the state dinner because of Chinas currency manipulation, and because of Chinas alleged cyber attacks against the United States. Is Governor Walker right?",TAPPER
" I think this goes back to essentially what weve been saying for the last two or three questions. Carly Fiorina also said were not going to talk with Putin. Well, think if Reagan had said that during the Cold War? We continued to talk with the Russians throughout the Cold War which is much more significant that where we are now. Should we continue to talk with Iran? Yes. Should we cut up the agreement immediately? Thats absurd. Wouldnt you want to know if they complied? Now, Im going to vote against the agreement because I dont think theres significant leverage, but it doesnt mean that I would immediately not look at the agreement, and cut it up without looking to see if whether or not Iran has complied. The same goes with China. I dont think we need to be rash, I dont think we need to be reckless, and I think need to leave lines of communication open. Often we talk about whether we should be engaged in the world, or disengaged in the world, and I think this is an example of some who want to isolate us, actually, and not be engaged. We do need to be engaged with Russia. It doesnt mean we give them a free pass, or China a free pass, but, to be engaged, to continue to talk. We did throughout the Cold War, and it would be a big mistake not to do it here.",PAUL
" Governor Walker, Senator Paul seemed to suggest",TAPPER
" that canceling the state dinner would be rash, and reckless.",TAPPER
" Two parts to that, one on China, one back for a second on Iran. When it comes to China, why would we be giving an official state visit to a country thats been involved in a massive cyber attack against the United States? Thats not just a visit, thats a 21 gun salute on the South Lawn of the White House. It just doesnt make any sense. If were ever going to send a message to them, wouldnt this be the time, when theyve issued this, sort of, massive attack against us? And, Jake, for the question, I was one of the first ones to call for terminating the bad deal with Iran on day one. The President came after me and said I need to bone up. You know, the President who called ISIS the JV squad said I needed to bone up. The reality is its a bad deal on day one, and its a bad deal because this president has allowed Iran to go closer, and closer. Id love to play cards with this guy because Barack Obama folds on everything with Iran. We need a leader whos going to stand up, and actually (INAUDIBLE)",WALKER
 Jake,FIORINA
 Governor Bush CRUZ(?): Jake,TAPPER
" Governor Bush, your father was the chief diplomatic envoy to China back when Nixon opened relations to China. Is Scott Walkers approach the right one, canceling the state dinner?",TAPPER
" No, I dont think so, but we need to be strong against China. We should use offensive tactics as it relates to cyber security, send a deterrent signal to China. There should be super sanctions in what President Obama has proposed. Theres many other tools that we have without canceling a dinner. Thats not going to change anything, but we can be much stronger as it relates to that. As it relates to Iran, its not a strategy to tear up an agreement. A strategy would be how do we confront Iran? And, the first thing that we need to do is to establish our commitment to Israel which has been altered by this administration. And, make sure that they have the most sophisticated weapons to send a signal to Iran that we have Israels back.",BUSH
" If we do that, its going to create a healthier deterrent effect than anything else I can think of.",BUSH
 I want to turn,TAPPER
" Jake, (INAUDIBLE)",FIORINA
" I want to turn to Governor Huckabee who has been very patient. Somebody had to be 11th, and he is, but, I do want to change the subject to the event that you had",TAPPER
" I would certainly love to get in on this, because I think the single (CROSSTALK)",HUCKABEE
"  however you want, but I want to ask this question.",TAPPER
" Ive been patiently waiting, and Im going to just say this about Iran.",HUCKABEE
" All right, sir, go ahead.",TAPPER
" Because I think it is incredibly important. This is really about the survival of Western civilization. This is not just a little conflict with a Middle Eastern country that weve just now given over $100 billion to, the equivalent in U.S. terms is $5 trillion. This threatens Israel immediately, this threatens the entire Middle East, but it threatens the United States of America. And we cant treat a nuclear Iranian government as if it is just some government that would like to have power. This is a government for 36 years has killed Americans, they kidnapped Americans, they have maimed Americans. They have sponsored terrorist groups, Hamas and Hezbollah, and they threaten the very essence of Western civilization. To give them this agreement, that the president treats like the Magna Carta, but Iranians treat it like its toilet paper, and we must, simply, make it very clear that the next president, one of us on this stage, will absolutely not honor that agreement, and will destroy it and will be tough with Iran, because otherwise, we put every person in this world in a very dangerous place.",HUCKABEE
" OK. (UNKNOWN): Jake, Id like to",TAPPER
" Were going to turn now to Hugh Hewitt, from Salem Radio Network.",TAPPER
" Thank you, Jake. Mr. Trump, two years ago, President Obama drew a red line that the Syrian dictator Bashar Assad crossed, President Obama threatened to strike. He did not, his knees buckled. We now have 4 million refugees, Syria is a living hell, and he turned to the Congress for the authority to back him up. You have three senators to your right that said, no. Do they bear responsibility for this refugee crisis, and what would you have done when Bashar Assad crossed the line?",HEWITT
" I wouldnt have drawn the line, but once he drew it, he had no choice but to go across. They do bear some responsibility, but I think he probably didnt do it, not for that reason. Somehow, he just doesnt have courage. There is something missing from our president. Had he crossed the line and really gone in with force, done something to Assad  if he had gone in with tremendous force, you wouldnt have millions of people displaced all over the world.",TRUMP
" How much responsibility, Mr. Trump, do the senators hold?",HEWITT
" They had a responsibility, absolutely. I think we have three of them here",TRUMP
 Senator Rubio,HEWITT
" I think they had a responsibility, yes.",TRUMP
" Let me tell you  I will tell you we have zero responsibility, because lets remember what the president said. He said the attack he would conduct would be a pinprick. Well, the United States military was not build to conduct pinprick attacks. If the United States military is going to be engaged by a commander-in-chief, it should only be engaged in an endeavor to win. And were not going to authorize use of force if youre not put in a position where they can win. And quite frankly, people dont trust this president as commander-in-chief because of that.",RUBIO
" Senator Paul? PAUL: I think this gets to the point of wisdom on when to intervene and when we shouldnt. Had we bombed Assad at the time, like President Obama wanted, and like Hillary Clinton wanted and many Republicans wanted, I think ISIS would be in Damascus today. I think ISIS would be in charge of Syria had we bombed Assad. Sometimes both sides of the civil war are evil, and sometimes intervention sometimes makes us less safe. This is real debate we have to have in the Middle East. Every time we have toppled a secular dictator, we have gotten chaos, the rise of radical Islam, and were more at risk. So, I think we need to think before we act, and know most interventions, if not a lot of them in the Middle East, have actually backfired on us.",HEWITT
" Thank you, Senator Paul. I want to turn now to my colleague Dana Bash.",TAPPER
" Hold on, a second, Jake, he asked me, as well. Id like to actually",RUBIO
" That would be fair, youre right. Youre the third senator.",TAPPER
"  respond. I think Im the first senator. (LAUGHTER) The No. 1 test for use of military force should be the vital national security interest of the United States. The reason why I opposed President Obama bombing Syria, is because he couldnt answer the question what do you do if chemical weapons end up in the hands of radical Islamic terrorists like al-Nusra, like Al Qaida, like ISIS? Now, I also want to respond to several folks up here who said we should trust this Iranian deal, see if the Iranians will comply. Anyone who is paying attention to what Khamenei says knows that they will not comply. There is a reason Khamenei refers to Israel as the little Satan, and America as the great Satan.",RUBIO
" In the middle of negotiating this treaty, Khamenei led the assembled masses in chanting, death to America. Im reminded of a great editorial cartoon. It shows the Ayatollah Khamenei saying, Death to all Americans, and then it shows John Kerry coming back, saying, Can we meet ya half way? (LAUGHTER) We need a commander-in-chief who will stand up and protect this country. And Ill tell you, I cant wait to stand on that debate stage with Hillary Clinton and to make abundantly clear if you vote for Hillary, you are voting for the Ayatollah Khomeini to possess a nuclear weapon and if you elect me as president, under no circumstances will a theocratic ayatollah who chants death to America ever be allowed to acquire a nuclear weapon. (CROSSTALK)",RUBIO
 Were going to go to Dana Bash (CROSSTALK),TAPPER
" No, no, no. I want to  I want to  I want to say something about what the senator just said.",KASICH
 And then itll be my turn.,FIORINA
" No one is  no  let me  let me suggest to you we believe that we operate better in the world when our allies work with us. President Bush did it in the Gulf War. We work better when we are unified. Secondly, nobodys trusting Iran. They violate the deal, we put on the sanctions, and we have the high moral ground to talk to our allies in Europe to get them to go with us. If they dont go with us, we slap the sanctions on anyway. If they fund these radical groups that threaten Israel and all of the West, then we should rip up the deal and put the sanctions back on. And let me make it clear  let me make it clear (CROSSTALK)",KASICH
"  if we think  if we think theyre getting close to a  to developing a nuclear weapon and we get that information, you better believe that I would do everything in my power as the commander-in-chief to stop them having a nuclear weapon.",KASICH
" Jake, Jake",CRUZ
" We can have it, and we can have our allies, and we can be strong as a country, and we can project across this globe with unity, not just doing it alone. That is not what gets us where we want to get as a nation.",KASICH
 Senator Cruz?,TAPPER
" Jake, there is no more important topic in 2016 than this topic right here, and Ive listened to several folks saying, Well, gosh, if they cheat, well act. We wont know under this agreement  there are several facilities in Iran they designate as military facilities that are off limit all together. Beyond that, the other facilities, we give them 24 days notice before inspecting them. That is designed to allow them to hide the evidence. And most astonishingly, this agreement trusts the Iranians to inspect themselves. That makes no sense whatsoever. And let me know  President Obama is violating federal law",CRUZ
