text,speaker
" I dont see a lot of weakness on this stage, quite frankly. Where I see the weakness is in those three people that are left on the Democratic stage. You know, I see a socialist, an isolationist and a pessimist. And for the sake of me, I cant figure out which one is which. (LAUGHTER) But I will  but I will tell you this, the socialist says theyre going to pay for everything and give you everything for free, except they dont say theyre going to raise it through taxes to 90 percent to do it. The isolationist is the one who wants to continue to follow a foreign policy that has fewer democracies today than when Barack Obama came into office around the world. But I know who the pessimist is. Its Hillary Clinton. And you put me on that stage against her next September, she wont get within 10 miles of the White House. Take it to the bank.",CHRISTIE
 Senator Paul?,QUINTANILLA
" You know, I left my medical practice and ran for office because I was concerned about an $18 trillion debt. We borrow a million dollars a minute. Now, on the floor of the Congress, the Washington establishment from both parties puts forward a bill that will explode the deficit. It allows President Obama to borrow unlimited amounts of money. I will stand firm. I will spend every ounce of energy to stop it. I will begin tomorrow to filibuster it. And I ask everyone in America to call Congress tomorrow and say enough is enough; no more debt.",PAUL
 Thanks to all the candidates. John?,QUINTANILLA
" Mr. Trump, youve done very well in this campaign so far by promising to build a wall and make another country pay for it.",HARWOOD
 Right.,TRUMP
 Send 11 million people out of the country. Cut taxes $10 trillion without increasing the deficit.,HARWOOD
 Right.,TRUMP
 And make Americans better off because your greatness would replace the stupidity and incompetence of others.,HARWOOD
 Thats right.,TRUMP
 Lets be honest. (LAUGHTER) Is this a comic book version of a presidential campaign?,HARWOOD
" No, not a comic book, and its not a very nicely asked question the way you say that. Larry Kudlow is an example, who I have a lot of respect for, who loves my tax plan. Were reducing taxes to 15 percent. Were bringing corporate taxes down, bringing money back in, corporate inversions. We have $2.5 trillion outside of the United States which we want to bring back in. As far as the wall is concerned, were going to build a wall. Were going to create a border. Were going to let people in, but theyre going to come in legally. Theyre going to come in legally. And its something that can be done, and I get questioned about that. They built the great wall of China. Thats 13,000 miles. Here, we actually need 1,000 because we have natural barriers. So we need 1,000.",TRUMP
" We can do a wall. Were going to have a big, fat beautiful door right in the middle of the wall. Were going to have people come in, but theyre coming in legally. And Mexicos going to pay for the wall because Mexico  I love the Mexican people; I respect the Mexican leaders  but the leaders are much sharper, smarter and more cunning than our leaders. And just to finish, people say, how will you get Mexico to pay? A politician other than the people in the states  I dont want to  a politician cannot get them to pay. I can. We lose, we have a trade imbalance Excuse me, John.  of $50 billion",TRUMP
 Were at the 60 seconds.,HARWOOD
  believe me the world is peanuts by comparison.,TRUMP
" Were at 60 seconds, but I gotta ask you, you talked about your tax plan. You say that it would not increase the deficit because you cut taxes $10 trillion in the economy would take off like (CROSSTALK)",HARWOOD
" Hold on, hold on. The economy would take off like a rocket ship.",HARWOOD
 Right. Dynamically.,TRUMP
 I talked to economic advisers who have served presidents of both parties. They said that you have as chance of cutting taxes that much without increasing the deficit as you would of flying away from that podium by flapping your arms.,HARWOOD
" Then you have to get rid of Larry Kudlow, who sits on your panel, whos a great guy, who came out the other day and said, I love Trumps tax plan. (CROSSTALK)",TRUMP
" The Tax Foundation says  has looked at all of our plans and  and his creates, even with the dynamic effect, $8 trillion dollar deficit QUICK: Gentlemen  well  well get back to this  just a minute  just a minute were gonna continue this. I wanna talk taxes",HARWOOD
 Hold it. Well cut it back to you in just a minute. Beckys moving on.,QUINTANILLA
" Dr. Carson, lets talk about taxes. You have a flat tax plan of 10 percent flat taxes, and  Ive looked at it  and this is something that is very appealing to a lot of voters, but Ive had a really tough time trying to make the math work on this. If you were to took a 10 percent tax, with the numbers right now in total personal income, youre gonna come in with bring in $1.5 trillion. That is less than half of what we bring in right now. And by the way, its gonna leave us in a $2 trillion hole. So what analysis got you to the point where you think this will work?",QUICK
" Well, first of all, I didnt say that the rate would be 10 percent. I used the tithing analogy.",CARSON
" I  I understand that, but if you  if you look at the numbers you probably have to get to 28.",QUICK
 The rate  the rate  the rate is gonna be much closer to 15 percent.,CARSON
 15 percent still leaves you with a $1.1 trillion hole.,QUICK
" You also have to get rid of all the deductions and all the loopholes. You also have to some strategically cutting in several places. Remember, we have 645 federal agencies and sub-agencies. Anybody who tells me that we need every penny and every one of those is in a fantasy world. So, also, we can stimulate the economy. Thats gonna be the real growth engine. Stimulating the economy  because its tethered down right now with so many regulations",CARSON
 Youd have to cut  youd have to cut government about 40 percent to make it work with a $1.1 trillion hole.,QUICK
 Thats not true.,CARSON
" That is true, I looked at the numbers.",QUICK
" When  when we put all the facts down, youll be able to see that its not true, it works out very well.",CARSON
" Dr. Carson, thank you.",QUICK
" Listen, I want to just comment.",KASICH
" Governor Kasich, hold it, Im coming to you right now. The",HARWOOD
 Well I want to comment on this. This is the fantasy,KASICH
" Well, Im asking you about this.",HARWOOD
 This is the fantasy that I talked about in the beginning.,KASICH
" Im about to ask you about this. That is, you had some very strong words to say yesterday about whats happening in your party and what youre hearing from the two gentlemen weve just heard from. Would you repeat it?",HARWOOD
" Im the only person on this stage that actually was involved in the chief architect of balancing the Federal Budget. You cant do it with empty promised. You know, these plans would put us trillions and trillions of dollars in debt. I actually have a plan. Im the only one on this stage that has a plan that would create jobs, cut taxes, balance the budget and can get it done because Im realistic. You just dont make promises like this. Why dont we just give a chicken in every pot, while were, you know, coming up  coming up with these fantasy tax schemes. Well just clean it up. Where are you gonna clean it up? You have to deal with entitlements, you have to be in a position to control discretionary spending. You gotta be creative and imaginative. Now, let me just be clear, John. I went into Ohio where we had an $8 billion hole and now we have a $2 billion surplus. Were up 347,000 jobs. When I was in Washington, I fought to get the budget balanced. I was the architect. It was the first time we did it since man walked on the moon. We cut taxes and we had a $5 trillion projected surplus when I left. Thats was hard work. Fiscal discipline, know what youre doing. Creativity. This stuff is fantasy. Just like getting rid of Medicare and Medicaid. Come on, thats just not  you scare senior citizens with that. Its not responsible.",KASICH
" Well, lets just get more pointed about it. You said yesterday that you were hearing proposals that were just crazy from your colleagues. Who were you talking about?",HARWOOD
" Well, I mean right here. To talk about were just gonna have a 10 percent tithe and thats how were gonna fund the government? And were going to just fix everything with waste, fraud, and abuse? Or that were just going to be great? Or were going to ship 10 million Americans  or 10 million people out of this country, leaving their children here in this country and dividing families? Folks, weve got to wake up. We cannot elect somebody that doesnt know how to do the job. You have got to pick somebody who has experience, somebody that has the know-how, the discipline. And I spent my entire lifetime balancing federal budgets, growing jobs, the same in Ohio. And I will go back to Washington with my plan.",KASICH
" Governor  Governor. thank you, Governor.",QUINTANILLA
" And I will have done it within 100 days, and it will pass. And we will be strong again. Thank you.",KASICH
" Mr. Trump, 30 seconds.",QUINTANILLA
" First of all, John got lucky with a thing called fracking, OK? He hit oil. He got lucky with fracking. Believe me, that is why Ohio is doing well. Number  and that is important for you to know. Number two, this was the man that was a managing general partner at Lehman Brothers when it went down the tubes and almost took every one of us with it, including Ben and myself, because I was there and I watched what happened. And Lehman Brothers started it all. He was on the board. And he was a managing general partner. And just thirdly, he was so nice. He was such a nice guy. And he said, oh, Im never going to attack. But then his poll numbers tanked. He has got  that is why he is on the end. (LAUGHTER) And he got nasty. And he got nasty. So you know what? You can have him. (CROSSTALK)",TRUMP
" Let me just  let me respond. First of all, Ohio does have an energy industry, but were diversified. Were one of the fastest growing states in the country. We came back from the dead. And you know what? It works very, very well. And secondly, when you talk about me being on the board of Lehman Brothers, I wasnt on the board of Lehman Brothers. I was a banker and I was proud of it. And I traveled the country and learned how people made jobs. We ought to have politicians who not only have government experience but know how the CEOs and the job creators work. My state is doing great across the board. And guess what, in 2011, I got a deal",KASICH
 Governor,QUICK
  an agreement with the (CROSSTALK),KASICH
  that he tried to take credit for four years later. Its a joke.,KASICH
" Thank you, Governor.",QUINTANILLA
" Dr. Carson, let me get 30 seconds with Dr. Carson (CROSSTALK)",QUICK
 Since I was attacked too.,CARSON
 Thank you.,QUICK
" Let me just say, if youre talking about an $18 trillion economy, youre talking about a 15 percent tax on your gross domestic product. Youre talking about $2.7 trillion. We have a budget closer to $3.5 trillion. But if you also apply that same 15 percent to several other things, including corporate taxes, and including the capital gains taxes, you make that amount up pretty quickly. So that is not by any stretch a pie in the sky.",CARSON
" Becky, if you want a 10 percent flat tax where the numbers add up, I rolled out my tax plan today, you can find it on line at tedcruz.org. It is a simple flat tax where for individuals, a family of four pays nothing on the first $36,000. After that you pay 10 percent as a flat tax going up. The billionaire and the working man, no hedge fund manager pays less than his secretary. On top of that, there is a business flat tax of 16 percent. Now that applies universally to giant corporations that with lobbyists right now are not paying taxes, and as small business. And you wanted to know the numbers, the Tax Foundation, which has scored every one of our plans, shows that this plan will allow the economy to generate 4.9 million jobs, to raise wages over 12 percent, and to generate 14 percent growth. And it costs, with dynamic scoring, less than a trillion dollars. Those are the hard numbers. And every single income decile sees a double-digit increase in after-tax income.",CRUZ
" Senator  Senator, thank you.",QUICK
" Growth is the answer. And as Reagan demonstrated, if we cut taxes, we can bring back growth.",CRUZ
" Gentlemen, Im sorry, we need to (CROSSTALK)",QUICK
 Were going to try to move on. (CROSSTALK),QUINTANILLA
" Let me just say on taxes, how long have we been talking about tax reform in Washington, D.C.? We have been talking about it for decades. We now have a 73,000-page tax code. There have been more than 4,000 changes to the tax plan since 2001 alone. There are loads of great ideas, great conservative ideas from wonderful think tanks about how to reform the tax code. The problem is we never get it done. We have talked about tax reform in every single election for decades. It never happens. And the politicians always say it is so complicated, nobody but a politician can figure it out. The truth is this, the big problem, we need a leader in Washington who understands how to get something done, not to talk about it, not to propose it, to get it done.",FIORINA
" You want to bring 70,000 pages to three?",QUINTANILLA
" Thats right, three pages.",FIORINA
 Is that using really small type?,QUINTANILLA
 You know why three?,FIORINA
 Is that using really small type?,QUINTANILLA
" No. You know why three? Because only if its about three pages are you leveling the playing field between the big, the powerful, the wealthy and the well-connected who can hire the armies of lawyers and accountants and, yes, lobbyists to help them navigate their way through 73,000 pages. Three pages is about the maximum that a single business owner or a farmer or just a couple can understand without hiring somebody. Almost 60 percent of American people now need to hire an expert to understand their taxes. So yes, youre going to hear a lot of talk about tax reform ",FIORINA
 Mrs. Fiorina ,QUINTANILLA
  the issue is who is going to get it done. (CROSSTALK),FIORINA
 Were going to ,QUINTANILLA
 Were going to move on.,QUICK
" We will come around the bend, i promise. This one is for Senator Rubio. Youve been a young man in a hurry ever since you won your first election in your 20s. Youve had a big accomplishment in the Senate, an immigration bill providing a path to citizenship the conservatives in your party hate, and even you dont support anymore. Now, youre skipping more votes than any senator to run for president. Why not slow down, get a few more things done first or least finish what you start?",QUINTANILLA
" Thats an interesting question. Thats exactly what the Republican establishment says too. Why dont you wait in line? Wait for what? This country is running out of time. We cant afford to have another four years like the last eight years. Watching this broadcast tonight are millions of people that are living paycheck to paycheck. Theyre working as hard as they ever have, everything costs more, and they havent had a raise in decades. You have small businesses in America that are struggling. For the first time in 35 years, we have more businesses closing than starting. We have a world thats out of control and has grown dangerous and a president that is weakening our military and making our foreign policy unstable and unreliable in the eyes of our allies. And our adversaries continue to grow stronger. We have a  they say theres no bipartisanship in Washington? We have a $19 trillion bipartisan debt and it continues to grow as we borrow money from countries that do not like us to pay for government we cannot afford. The time to act is now. The time to turn the page is now. If we  if we dont act now, we are going to be the first generation in American history that leaves our children worse off than ourselves.",RUBIO
" So when the Sun-Sentinel says Rubio should resign, not rip us off, when they say Floridians sent you to Washington to do a job, when they say you act like you hate your job, do you?",QUINTANILLA
" Let me say, I read that editorial today with a great amusement. Its actually evidence of the bias that exists in the American media today.",RUBIO
" Well, do you hate your job?",QUINTANILLA
" Let me  let me answer your question on the Sun-Sentinel editorial today. Back in 2004, one of my predecessors to the Senate by the name of Bob Graham, a Democrat, ran for president missing over 30 percent of his votes. I dont recall them calling for his resignation ",RUBIO
 Is that the standard?,QUINTANILLA
" Later that year, in 2004, John Kerry ran for president missing close to 60 to 70 percent of his votes. I dont recall the Sun  in fact, the Sun-Sentinel endorsed him. In 2008, Barack Obama missed 60 or 70 percent of his votes, and the same newspaper endorsed him again. So this is another example of the double standard that exists in this country between the mainstream media and the conservative movement.",RUBIO
" Senator, thank you. John.",QUINTANILLA
" Could I  could I bring something up here, because Im a constituent of the senator and I helped him and I expected that he would do constituent service, which means that he shows up to work. He got endorsed by the Sun-Sentinel because he was the most talented guy in the field. Hes a gifted politician. But Marco, when you signed up for this, this was a six-year term, and you should be showing up to work. I mean, literally, the Senate  what is it, like a French work week? You get, like, three days where you have to show up? You can campaign, or just resign and let someone else take the job. There are a lot of people living paycheck to paycheck in Florida as well, theyre looking for a senator that will fight for them each and every day.",BUSH
" I get to respond, right?",RUBIO
 Thirty seconds.,QUICK
" Well, its interesting. Over the last few weeks, Ive listened to Jeb as he walked around the country and said that youre modeling your campaign after John McCain, that youre going to launch a furious comeback the way he did, by fighting hard in New Hampshire and places like that, carrying your own bag at the airport. You know how many votes John McCain missed when he was carrying out that furious comeback that youre now modeling after?",RUBIO
 He wasnt my senator.,BUSH
" No Jeb, I dont remember  well, let me tell you. I dont remember you ever complaining about John McCains vote record. The only reason why youre doing it now is because were running for the same position, and someone has convinced you that attacking me is going to help you.",RUBIO
" Well, Ive been ",BUSH
" Heres the bottom line. Im not  my campaign is going to be about the future of America, its not going to be about attacking anyone else on this stage. I will continue to have tremendous admiration and respect for Governor Bush. Im not running against Governor Bush, Im not running against anyone on this stage. Im running for president because there is no way we can elect Hillary Clinton to continue the policies of Barack Obama.",RUBIO
" Thank you, Senator.",QUINTANILLA
 I think youre  (CROSSTALK),TRUMP
 Hold on. I think theres a  Ive got question for  (CROSSTALK),HARWOOD
" John Harwood, theres a bigger issue here.",KASICH
" Hold on, Governor. Ive got a question for Governor Bush. (CROSSTALK)",HARWOOD
" No, were moving to Governor Bush. Governor, the fact that youre at the fifth lectern tonight shows how far your stock has fallen in this race, despite the big investment your donors have made.",HARWOOD
" You noted recently, after slashing your payroll, that you had better things to do than sit around and be demonized by other people. I wanted to ask you ",HARWOOD
" No, no. What I said was I dont believe that I would be president of the United States and have the same dysfunction that exists in Washington, D.C. now.",BUSH
 OK.,HARWOOD
" Dont vote for me if you want to keep the gridlock in Washington, D.C.",BUSH
 Got it.,HARWOOD
" But if you want someone who has a proven, effective leadership, that was a governor of a state, that transformed the culture there, elect me so I can fight for the American people and change the culture in Washington, D.C.",BUSH
" But its a  OK. Its a  its a question about why youre having difficulty. I want to ask you in this context. Ben Bernanke, who was appointed Fed chairman by your brother, recently wrote a book in which he said he no longer considers himself a Republican because the Republican Party has given in to know- nothingism. Is that why youre having a difficult time in this race?",HARWOOD
" (inaudible), the great majority of Republicans and Americans believe in a hopeful future. They dont believe in building walls and a pessimistic view of the future. Theyre concerned that Washington is so dysfunctional it is holding them back. There are lids on peoples aspirations. Think about it: six and a half million people working part-time. Workforce participation rates lower than they were in 1977. Six million more people living in poverty than the day that Barack Obama got elected president, and the left just wants more of the same. We have to offer a compelling alternative that is based on hope and optimism and grounded in serious policy, which Ive laid out. And you can go get it at jeb2016.com.",BUSH
" Thank you, Governor. (CROSSTALK)",HARWOOD
 Were gonna get down the line. Beckys got a question.,HARWOOD
" Well get to everyone. Ms. Fiorina, I  Id like to ask you a question. You are running for president of the United States because of your record running Hewlett-Packard. But the stock market is usually a fair indicator of the performance of a CEO, and the market was not kind to you. Someone who invested a dollar in your company the day you took office had lost half of the dollar by the day you left. Obviously, youve talked in the past about what a difficult time it was for technology companies, but anybody who was following the market knows that your stock was a much worse performer, if you looked at your competitors, if you looked at the overall market. I just wonder, in terms of all of that  you know, we look back, your board fired you. I just wondered why you think we should hire you now.",QUICK
" You know, the NASDAQ dropped 80 percent  80 percent  and it took 15 years for the NASDAQ to recover. I was recruited to H.P. to save a company. It was a company that had grown into a bloated, inept bureaucracy that cost too much and delivered too little to customers and shareholders. It had missed, before I had arrived, expectations for nine quarters in a row. As an outsider, I tackled H.P.s entrenched problems head-on. I cut the bureaucracy down to size, re-introduced accountability, focused on service, on innovation, on leading in every market, in every product segment. And yes, it was a very difficult time. However, we saved 80,000 jobs and we went on to grow to 160,000 jobs, and scores of technology companies literally went out of business  like Gateway  taking all their jobs with them. The truth is I had to make some tough calls in some tough times. I think, actually, people are looking for that in Washington now. And yes, I was fired over a disagreement in the boardroom. There are politics in the boardroom as well. And yet the man who led my firing, Tom Perkins, an icon of Silicon Valley, has come out publicly and said, you know what? We were wrong. She was right. She was a great CEO. Shed be a great president of the United States because the leadership she brought to H.P. is exactly the leadership we need in Washington, D.C.",FIORINA
" Mrs. Fiorina, its interesting that you bring up Mr. Perkins, because I think his quote was that, if you pay zero dollars in taxes, you should get zero votes. If you pay a million dollars, you should get a million votes. Is this the type of person you want defending you?",QUICK
" Well, this is one of the reasons why Tom Perkins and I had disagreements in the boardroom, Becky. (LAUGHTER) Nevertheless, one of the things that I think people dont always understand is how accountable a CEO actually is. So you know, I had to report results every 90 days in excruciating detail. I had to answer every single question about every single result and every single projection in public until there were no more questions. And if I misrepresented those results or those projections in any way, I was held criminally liable. Imagine  imagine  if a politician were held to that standard of account. I will run on my record all day long. And I believe people need a leader who is prepared to make tough calls in tough times and stand up",FIORINA
 Mrs. Fiorina.,QUICK
 and be held accountable.,FIORINA
" Thank you, were out of time. Thank you, Mrs. Fiorina. Carl.",QUICK
" Senator Cruz. Congressional Republicans, Democrats and the White House are about to strike a compromise that would raise the debt limit, prevent a government shutdown and calm financial markets that fear of  another Washington-created crisis is on the way. Does your opposition to it show that youre not the kind of problem-solver American voters want?",QUINTANILLA
" You know, let me say something at the outset. The questions that have been asked so far in this debate illustrate why the American people dont trust the media. How about talking about the substantive issues the people care about?",CRUZ
 (inaudible) do we get credit (inaudible)?,QUINTANILLA
" And Carl  Carl, Im not finished yet.",CRUZ
" The contrast with the Democratic debate, where every fawning question from the media was, Which of you is more handsome and why? (LAUGHTER) And let me be clear. (CROSSTALK)",CRUZ
" So, this is a question about (inaudible), which you have 30 seconds left to answer, should you choose to do so.",QUINTANILLA
" Let me be clear. The men and women on this stage have more ideas, more experience, more common sense than every participant in the Democratic debate. That debate reflected a debate between the Bolsheviks and the Mensheviks. (LAUGHTER) And nobody watching at home believed that any of the moderators had any intention of voting in a Republican primary. The questions that are being asked shouldnt be trying to get people to tear into each other. It should be what are your substantive positions (CROSSTALK)",CRUZ
 OK. (inaudible) I asked you about the debt limit and I got no answer. (CROSSTALK),QUINTANILLA
 You want me to answer that question? Im happy to answer the question (CROSSTALK),CRUZ
 Let me tell you how that question (CROSSTALK),CRUZ
 Let me tell you how that question (CROSSTALK),CRUZ
" Senator Paul, Ive got a question for you on the same subject.",HARWOOD
"  so you dont actually want to hear the answer, John?",CRUZ
 Senator Paul?,HARWOOD
 You dont want to hear the answer. You just want to (CROSSTALK),CRUZ
 You used your time on something else. Senator Paul?,HARWOOD
 Youre not interested in an answer. (CROSSTALK),CRUZ
" Senator Paul, the budget deal crafted by Speaker Boehner and passed by the House today makes cuts in entitlement programs, Medicare and Social Security disability, which are the very programs conservatives say need cutting to shrink government and solve our countrys long-term budget deficit. Do you oppose that budget deal because it doesnt cut those programs enough?",HARWOOD
" No, I oppose it because youre taking money from the entitlement and then spending it immediately on other items. Thats what theyre doing. Theyre taking money from Social Security and theyre going to spend it on the military and theyre going to spend it on domestic spending. Heres the thing. When you look at raising the debt limit, it should be leverage to try to reform government. In 2011, the sequester was passed as a reform to slow down the rate of government. Instead, the Washington establishment raised both. We raised the military spending, took from entitlements, and raised domestic spending and the deficit will explode under this. This is the unholy alliance that people need to know about between right and left. Right and left are spending us into oblivion. We should use the debt ceiling, as precisely to Don, to force upon them budgetary reforms.",PAUL
" Senator, if what you just said is true, why did Speaker Boehner craft this deal and why did Paul Ryan, who has a strong reputation for fiscal discipline, vote for it?",HARWOOD
" Well, thats a real question. Is there going to be any change in the House with new leadership? I frankly dont think there will be much change because I think whats going to happen is youre going to get more of the same. People in Washington think they were sent there to be adults and govern and do all this. Well, you know what Im worried about? Not keeping the government open. Im worried about bankrupting the American people. Were borrowing a million dollars a minute. That is important. And thats what we have to contrast. Keeping the government open and continuing to borrow a million dollars a minute. (CROSSTALK)",PAUL
" Thank you, Senator (inaudible).",HARWOOD
" Governor Christie, Id like to (inaudible) a question next. Actually, I have a question for you (inaudible). In your tell it like it is campaign, youve said a lot of tough things. Youve said that we need to raise the retirement age for Social Security. You think that we need to cut benefits for people who make over $80,000 and eliminate them entirely for seniors who are making over $200,000. Governor Huckabee, who is here on the stage, has said that you and others who think this way are trying to rob seniors of the benefits that theyve earned. It raises the question: When it is acceptable to break a social compact?",QUICK
" Well, I wish you would have asked that question years ago when they broke it. I mean, let me be honest with the people who are watching at home. The government has lied to you and they have stolen from you. They told you that your Social Security money is in a trust fund. All thats in that trust fund is a pile of IOUs for money they spent on something else a long time ago. And theyve stolen from you because now they know they cannot pay these benefits and Social Security is going to be insolvent in seven to eight years. Were sitting up here talking about all these other things; 71 percent of federal spending today is on entitlements, and debt service. And, thats with zero percent interest rates. Now, Im the only person thats put out a detailed plan on how to deal with entitlements. And well save a trillion dollars over the next 10 years. And, heres the difference between me and Hillary Clinton. What Hillary Clintons going to say, and has said before is, she wants to raise Social Security taxes. Now, let me ask you a question everybody, and, this is for the guy, you know, who owns a landscaping business out there. If somebodys already stolen money from you, are you going to give them more? Or, are you going to deal with the problem by saying, Im going to give people whove done well in this country less benefit on the backend. We need to get realistic about this. Were not  the American people  forget about anything else, theyve already been lied to and stolen from. And",RITCHIE
 Governor,QUICK
 Im going to go to Washington to stop it,CHRISTIE
 Thank you.,QUICK
" We promised we would get to everyone this block. Governor Huckabee, Im going to give you 60 seconds on this.",QUINTANILLA
" Well, I would really appreciate that. First of all, yes, weve stolen. Yes, weve lied to the American people about Social Security, and Medicare. But, you know what were not telling them? Its their money. This isnt the governments money. This is not entitlement, its not welfare. This is money that people have confiscated out of their paychecks. Everytime they got a paycheck, the government reached in and took something out of it before they ever saw it. Now, were going to blame the people. Today congress decided to take another $150 billion dollars away from Social Security so they can borrow more money. That makes no sense to everybody. And, theyre always going to say, Well, were going to fix this one day. No their not. Its like a 400 pound man saying, Im going to go on a diet, but Im eating a sack of Krispy Kremes before I do. And, people are sick of believing that the government is never going to really address this. But, let me tell you who not to blame. Lets quit blaming the people on Social Security. Lets quit making it a problem for them. Its like them getting mugged, and then us saying, well, were going to mug you some more. You ought to just be able to get over it, get used to it",HUCKABEE
 Governor,QUINTANILLA
" No, sir",HUCKABEE
" Thank you, Governor",QUINTANILLA
 we need to honor our promises (CROSSTALK),HUCKABEE
 Senator Cruz,QUINTANILLA
" before I go. This is the only time Ive had a chance, let me finish.",HUCKABEE
" OK, alright.",QUINTANILLA
" This is a matter not of math, this is a matter of morality. If this country that does not keep its promise to seniors then what promise can this country hope to be trusted to keep? And, the fact is, none of them. (CROSSTALK)",HUCKABEE
" And, by the way, Carl",MALE
" And, the only way  no (CROSSTALK)",HUCKABEE
" The only way were going to be morale, the only way were going to keep our promise to seniors is start by following the first rule we should all follow, which is to look at them, treat them like adults, and tell them the truth. It isnt there anymore, Mike. They stole it. It got stolen from them. Its not theirs anymore. The government stole it, and spent it a long time ago HUCKABEE: Chris",CHRISTIE
" So, lets stop fooling around about this, lets tell people the truth. For once, lets do that, and stop trying to give them some kind of fantasy thats never going to come true.",CHRISTIE
 Senator Cruz,QUINTANILLA
 Chris,HUCKABEE
" Before we go to break, were clearly not having that beer you mentioned, but Ill give you 30 more seconds",QUINTANILLA
 Then Ill buy you a tequila,CRUZ
 OK.,QUINTANILLA
" Or, even some famous Colorado brownies.",CRUZ
 Ill give you 30 seconds to respond (CHEERING),QUINTANILLA
 (INAUDIBLE),QUINTANILLA
" Since he brought me up, do I not get to respond?",HUCKABEE
