,SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,SECTION,BYLINE,LANGUAGE,PUBLICATION.TYPE,LENGTH,TEXT,pos_prop,neg_prop,ceo_men,ceo_women
239,404,The New York Times,"May 15, 2013",Cyberbullied Businesses,The New York Times on the Web,Section ; Column 0; Editorial Desk; LETTER; Pg.,,ENGLISH,Newspaper,206 words,"To the Editor: Re ''China's Military Is Accused by U.S. in Cyberattacks'' (front page, May 7): When China tries to steal corporations' technology secrets, companies turn to the United States government for protection. Yet Microsoft, Google, Apple, Hewlett-Packard and many others avoid paying American taxes by keeping hundreds of billions sheltered in ''offshore'' no-tax havens, according to the Senate Permanent Subcommittee on Investigations. Ironically, the billions they avoid paying could support our country's cybersecurity, among so many other services and subsidies on which big business depends. Robert M. Morgenthau, the former Manhattan district attorney, called some of this sheltering ''outright tax fraud.'' The rest might be legal, but it's a slap in the face. Maybe cyberbullied businesses should ask their offshore hosts to respond. Imagine the Cayman Islands, the British Virgin Islands, Gibraltar, Luxembourg, Switzerland and Bahrain getting tough with Red Army intelligence! Seriously, loyalty isn't just a word for others. Furthermore, ''American'' corporations that offshore profits shouldn't count on our being suckers forever. FRED REDMOND Intl. Vice President (Human Affairs) United Steelworkers Pittsburgh, May 9, 2013",0.0338983051,0.0169491525,1,0
243,415,The New York Times,"July 7, 2013","Courtly, Yes, but Crusading Against Corporate Excess",Late Edition - Final,Section BU; Column 0; Money and Business/Financial Desk; Pg. 12,By ANNA BERNASEK,ENGLISH,Newspaper,1016 words,"AT age 79, many people who can afford to do so are done working. Not Robert A. G. Monks. He is still hard at work, trying to change corporate America. A Boston Brahmin who has been a corporate lawyer, venture capitalist, energy company executive, corporate director and Reagan administration official, Mr. Monks has an elite background that might have made him a consummate corporate insider. Instead, in his latest book, ''Citizens DisUnited: Passive Investors, Drone C.E.O.'s and the Corporate Capture of the American Dream,'' he has issued what he describes as ''a call to arms.'' Mr. Monks has been battling for decades to make corporations more transparent and more democratic. Toward that end, he has founded companies like Institutional Shareholder Services, the Corporate Library and GMI Ratings, which assess the ways companies are governed. He has lobbied institutional investors to influence the behavior of companies in which they invest. He has also met with presidents, most recently President Obama at a reception in Boston where he tried to enlist support for his cause, without much effect so far. Now he is pleading for the direct involvement of millions of individual corporate shareholders. ''Nothing is going to happen unless you involve yourself,'' he said. ''Democracy isn't going to work without involved citizens and corporations won't work without involved owners.'' A slender 6-foot-6, Mr. Monks is imposing but not intimidating, with a courtly manner that seems at odds with the combative language he uses to describe corporate America. Big companies have captured the political system in the United States, he says, and chief executives have captured the corporations, ensuring that the nation is effectively run by a handful of top business managers who pursue their own narrow self-interest. ''The most powerful C.E.O.'s have effectively seized authority over a vast range of America's corporate resources,'' he wrote, ''and through those resources over the nation itself without assuming any responsibilities of dominion.'' For Mr. Monks, corporate governance centers on several main issues, including executive pay, corporate compatibility with the public interest and management's responsiveness to shareholders. He admires people like Ralph V. Whitworth, a founder of the private investment group Relational Investors, who, he says ''has set a model for constructive shareholder activism.'' Mr. Whitworth's approach has been to accumulate a stake in a public company, perhaps only 1 percent, and then fight his way onto the board, where he pushes for a change in corporate strategy. In 1999, Mr. Whitworth became acting chairman of Waste Management, helping it recover from an accounting scandal. A Hewlett-Packard shareholder, he joined its board in 2011 and became interim chairman earlier this year, amid a turnaround effort at the company. Although ownership in the stock market today appears more widely dispersed than ever, individuals have been exerting less control over companies, Mr. Monks said. For instance, many millions of Americans hold stocks through mutual funds, representing by far the largest ownership block among institutional investors. As a purely legal matter, mutual funds have significant power to influence all aspects of corporate governance. In practice, though, the funds have tended to be hands-off, passive investors. Mr. Monks thinks that needs to change. ''It's critical that mutual fund investors require the trustees of their accounts to act like stewards of each company they hold in their portfolio,'' he said. ''Many mutual fund companies are equipped to do this.'' Those that aren't should be responsive when researchers point out current problems. ''When a corporate governance issue comes to light,'' he said, ''they need to be involved.'' HE also contends that others among the nation's biggest investors -- charitable funds and endowments -- need to play more active roles. In his book, he argued that if excessive executive pay was to be curbed, it was important that the trustees of the top dozen endowments and charitable funds, accounting for $200 billion in collective assets, actively take a stand. ''These are flesh-and-blood individuals who can actually do something,'' he said. Mr. Monks comes from a patrician New England background. With his wife, Millicent -- a great-granddaughter of Thomas Carnegie, the younger brother of Andrew Carnegie -- he lives on a private island off the coast of Maine, from which he wages his battles against today's corporate titans. A self-described education snob, highly attuned to the background and credentials of those he meets, he earned a bachelor's degree at Harvard, did graduate work at Cambridge in Britain and then returned to Harvard for his law degree. He sees himself as one of the last of the Rockefeller Republicans, and he served as a co-chairman of Republicans for Obama in Maine during the 2008 presidential election. During that campaign, he entertained Barack Obama at his home. Mr. Monks even had political ambitions of his own. In 1972, 1976 and 1996, he ran unsuccessfully for the United States Senate. During his first race, he said, he had an epiphany that eventually set him on the path of corporate governance reform. While staying at a hotel on the bank of the Penobscot River, he says, he saw a wall of white foam coming down the river. He learned that it came from the paper companies in the area. After that election, he became chairman of a trust company with paper company holdings. Mr. Monks said he wrote letters urging these companies to improve their environmental practices. The Clean Water Act of 1972 and its various amendments eventually provided the impetus for a significant cleanup of the river. In some ways, corporations have become more powerful and shareholders have become less involved, he said, yet he is not discouraged. ''I've had so little tangible success and yet I've never been happier,'' he said. ''Each one of us needs to ask what we can contribute. I've tried to expose the illusion of corporate democracy. It's a cost to all of us.''",0.035971223,0.0287769784,1,0
249,422,The New York Times,"February 23, 2013",Sometimes It's Good Not to Forgive,Late Edition - Final,Section B; Column 0; Business/Financial Desk; SHORTCUTS; Pg. 5,By ALINA TUGEND,ENGLISH,Newspaper,1301 words,"IT seems, these days, that we can barely keep pace with the tales of the famous and near famous who climb to great heights, plummet to great depths and then try to work their way back into the public's affection. Since the beginning of this year alone, we've had Lance Armstrong's sort-of apology interview with Oprah Winfrey acknowledging his use of a variety of performance-enhancing drugs, the efforts by the fashion designer John Galliano to put an anti-Semitic tirade behind him and the seemingly ill-fated, public (and lucrative) mea culpa by the best-selling author Jonah Lehrer for plagiarism and fabrication. Even as I was writing this column, news broke about another fallen celebrity: Oscar Pistorius, the South African double-amputee Olympic runner, was charged with murder in the shooting death of his girlfriend. These never-ending stories may not affect our lives -- except, perhaps, to make us more cynical when the mighty fall. But they do raise questions about forgiveness and atonement that are important outside the world of the celebrity. ''Stories of trust violations abound in the media and business press,'' Kurt T. Dirks, a professor of managerial leadership at Washington University in St. Louis, and colleagues wrote in a recent journal article. ''However, these high-profile incidents are vastly outnumbered by the many trust violations that occur in the offices and hallways and other arenas of virtually all work organizations.'' And with our friends, partners, children, parents and, of course, the companies we do business with. I've written quite a bit about the need for our society to be more open to mistakes and failure. But what happens after that? Is forgiveness automatic? And how difficult is it -- or should it be -- to get redemption after a serious misstep? First, what is forgiveness? Jeffrie Murphy, a professor of law, philosophy and religious studies at Arizona State University, who has written about the issue for years, says it is ''a change of heart toward someone -- overcoming the feelings of anger and resentment that typically come from being wronged by another.'' But it is important to differentiate between forgiveness and trusting someone again, Professor Dirks said. So you may be willing to forgive a business that messed up a deal but nevertheless decide not to work with that business again. Or forgive an abusive partner, but never be in a relationship with that person again. Or even forgive those who committed a crime against you, but still believe they should be punished. ''The question is how much you've been personally harmed and what's at stake for you in the future,'' he said. ''It depends, also, if we have something to gain by interacting'' with the person or business again. Of course, it is often easier to avoid interacting with a person who has harmed you than a business, because often no good alternatives are available. But we can feel that we have some control by refusing to buy from a company that has sold us a lemon or provided terrible service. And, on occasion, enough consumers have pulled together to force a company to back down, as they did in 2011, when Bank of America bowed to customer pressure and dropped plans to impose a $5 monthly fee on debit cards. Research has also shown that we seem to be more willing to forgive -- and trust again -- those who make errors of competence rather than of character, Professor Dirks said. ''We believe issues of competence are changeable over time, but not issues of character or integrity,'' he said. ''And the truth is that probably you can change certain skills, but the underlying value system is probably harder to change.'' It has become somewhat common wisdom to believe that forgiving a person who did you wrong is not just the right thing to do, but will make you emotionally, and even physically, healthier in the long run by alleviating the anger and stress you feel. But Professor Murphy warned against assuming that forgiveness was always the right answer and that someone who failed to offer forgiveness was ''not a good person or a mentally healthy person.'' ''It's a good thing and a blessed thing to forgive, but I am skeptical of any universal sentiment,'' he said. ''Some people may be liberated by forgiving. Some may be liberated by getting even. Saying that people should automatically be forgiven doesn't do justice to different moralities and different psychologies.'' For example, he said, when he was a professor in Minnesota, he used to offer a colleague a ride to work during the harsh winters. The colleague then questioned his professional integrity in an unrelated matter, and refused to apologize. ''Did I forgive him?'' he said. ''No. I got pleasure seeing him wait for the bus in the freezing cold while I drove by in my nice warm car.'' And, some experts say, forgiving an offense too quickly or too readily may just paper over the offense and leave it to fester. What about our curious relationship with celebrities who have fallen? Why do we feel betrayed by people we don't really know? And are we more forgiving of them than of the people in our own lives? Jeremy D. Holden, who wrote about political, cultural and commercial movements in a book called ''Second That Emotion'' (Prometheus Books, 2012), said he believed that we develop a ''social contract'' with famous people that is based not on logic, but rather on the mistaken belief that we actually understand them because we hear and read about them so much. ''We feel we know these people intimately,'' he said. ''And they don't ask anything of us -- they just give us pleasure.'' We also imbue celebrities with traits they don't necessarily have, often because that's the image they're trying to sell and that we're very willing to buy. As the blogger Deborah Dunham wrote, in a post about her feelings of anger and disappointment toward Lance Armstrong: ''We wanted to think that someone could be the idol, the comeback champion, the survivor, the dad, the do-gooder and the boyfriend of a sexy rock star all wrapped up into one fit, strong body. Because if it was possible for one guy to have it all in such a big way, well, maybe, just maybe, we could have a slice of our own American dream.'' But the question of whether we should forgive Lance Armstrong or any of the celebrities who have let us down is irrelevant, Professor Murphy said. ''How have these celebrities wronged me? You have to be a victim in order to be wronged,'' he said. ''We have a fantasy image of them and we feel let down by them. That's more our fault than theirs.'' One thing that is true -- famous people, whether athletes or actors, are more likely to be able to overcome serious setbacks than the average Joe. Eve Tahmincioglu, a spokeswoman for the Families and Work Institute, noted, for instance, that most workers would be fired if they admitted to having sex with a subordinate. But David Letterman wasn't. And Kobe Bryant, who was accused of sexual assault by a hotel worker, said they had consensual sex but still made a public apology and continues to play with the Lakers. Even Mike Tyson, convicted of rape, seems to be on the comeback trail -- working with the director Spike Lee last year on a one-man Broadway play and doing the talk show circuit. But a noncelebrity would have a hard time simply getting hired with a criminal record or even a bad credit score, Ms. Tahmincioglu said. One could argue that few of us have the talents that these superstars possess and that we need to separate their skills from their personalities. Maybe. But it is also the case, as Ms. Tahmincioglu said, that when you are on the bottom and mess up, ''you are doubly in trouble.'' Perhaps one reason that we give the famous a pass, she said, is that we wish someone would give us a pass sometimes. E-mail: shortcuts@nytimes.com",0.0706845238,0.0364583333,1,0
264,445,The New York Times,"February 20, 2013",Religious Exemptions From Birth Control Mandate,The New York Times on the Web,Section ; Column 0; Editorial Desk; LETTERS; Pg.,,ENGLISH,Newspaper,338 words,"To the Editor: In a Feb. 11 column, ''The Conscience of a Corporation,'' Bill Keller wrote about business lawsuits against Obamacare's mandate that companies cover birth control, including abortion pills, in their insurance plans. He questioned the idea that corporations have a conscience. A corporation is simply a group of people acting together. The Supreme Court has ruled many times that corporations can exercise religion. The Religious Freedom Restoration Act, signed by President Bill Clinton in 1993, protects ''any'' exercise of religion. That protection applies when families earn a living in business. There is no ''right'' to force religious people to pay for other people's abortions, contraception and sexual choices. The abortion pill mandate coerces religious employers, but those employers aren't asking to coerce anyone. All Americans, not just churches, are guaranteed freedom of religion in their daily lives. It is a terrible idea to expunge religion and ethics from business on the theory that businesses can care only about profit. MATT BOWMAN Washington, Feb. 13, 2013 The writer, senior legal counsel for Alliance Defending Freedom, is lead counsel for several plaintiffs that have obtained injunctions against the mandate. To the Editor: It's a bit frightening to consider the broader implications of Bill Keller's column. If the Supreme Court finds favor with David Green's argument -- that as an evangelical Christian he shouldn't have to provide coverage for contraceptives to his employees -- we're all in deep trouble. What would stop a chief executive who follows Christian Science from refusing all medical insurance coverage for any employee, as it contradicts his basic religious principles? What would prevent a C.E.O. who belongs to the Church of Scientology, which has demonized professional mental health care, from refusing coverage for all mental health care? This road is better not taken, as this is just the short list. PAUL EPSTEIN Fitchburg, Mass., Feb. 11, 2013 The writer is a psychiatrist.",0.0569620253,0.0284810127,1,0
266,449,The New York Times,"February 22, 2013","Otto Beisheim, German Retailing Pioneer, Dies at 89",The New York Times on the Web,Section ; Column 0; Business/Financial Desk; Pg.,By MELISSA EDDY,ENGLISH,Newspaper,487 words,"BERLIN -- Otto Beisheim, who revolutionized retailing in postwar Germany by introducing the concept of selling wholesale goods directly to customers and the builder of the country's largest retailer, Metro, was found dead on Monday at his home in Bavaria. He was 89. Mr. Beisheim, who had been suffering from an incurable illness, committed suicide, his foundation, the Otto-Beisheim Group, said. Mr. Beisheim, who was said to have amassed a fortune of $3.3 billion, was intensely private and rarely in the public eye. Even at his company's shareholders' meetings, he was reported to have shown up on occasion masquerading under the name Müller. Mr. Beisheim founded Metro in 1964 and continued to hold a 10 percent stake. It is now the third-largest retailer in Europe, behind Carrefour of France and Tesco of Britain. Like Sam's Clubs and Costco in the United States, Metro stores sell only to members. But Metro members are mostly businesses or professionals. The son of a caretaker, Mr. Beisheim was born on Jan 3, 1924, near Essen, Germany. His family was too poor to pay for him to attend high school, so he became a leather tradesman. As a wealthy man, he later donated widely to schools and universities. The best known of these, a business school near Koblenz, carries his name: the WHU-Otto Beisheim School of Management. During World War II Mr. Beisheim was a radio controller in the Waffen-SS, the armed wing of the Nazi Party. His military service became known publicly only in 2006, and some said a wish to hide his past may have contributed to his desire for privacy. After the war, Mr. Beisheim worked as an electronics wholesaler. While traveling in the United States he observed how goods were sold from warehouses to customers for cash. The idea differed from the German practice of placing orders on credit and having goods delivered to retailers or other institutional buyers. Returning to Germany, he founded Metro, the country's first cash-and-carry retailer, in 1964 at Mülheim an der Ruhr, in West Germany's industrial heartland. He later joined with the Haniel and Schmidt-Ruthenbeck families and expanded the company into Austria and France. It later moved into Denmark and Italy as well. The Metro Group, which today includes the Metro cash-and-carry stores, the electronics stores Saturn and Media Markt, Real hypermarkets and the Kaufhof line of department stores across Europe and Asia, was formed through a merger of several companies in 1996. One of Mr. Beisheim's main accomplishments at Metro was the purchase in 2006 of 85 Walmart stores by the group's Real division. Walmart had decided to withdraw from Germany after losing billions of dollars over a decade; the stores now operate under the name Real. Mr. Beisheim's wife of nearly 50 years, Inge, died in 1999. They had no children. He is leaving his fortune to two foundations that carry his name, one in Munich and the other in Baar, Switzerland.",0.0245901639,0.0225409836,1,0
273,458,The New York Times,"August 29, 2013",Fandango Acquires a Rival in Movie Tickets,The New York Times on the Web,Section ; Column 0; Business/Financial Desk; Pg.,By BROOKS BARNES,ENGLISH,Newspaper,212 words,"LOS ANGELES -- Fandango, the fast-growing online seller of movie tickets, has swallowed a rival company that runs Hollywood Movie Money, a popular gift-certificate system that studios use to promote DVD and Blu-ray releases. Fandango's acquisition of the company, Quantum Loyalty Solutions, catapults the online ticket seller deep into a backwater of the movie business, but a lucrative backwater nonetheless, said Paul Yanover, Fandango's president. ''It's a great accelerator for us,'' he said. Studios pay Quantum a fee to handle the distribution and redemption of promotional (usually, free) tickets to movies, which are often used to bolster sales of DVDs and Blu-ray discs. One recent offer: Buy ''Monsters Inc.'' on Blu-ray and get free tickets to ''Monsters University.'' Fandango, which makes money by charging a processing fee for online ticket sales and by selling advertising on its Web site, has long worked to build a voucher business and has made some inroads. But Quantum has been a strong competitor, relying on longstanding relationships with studios and theater owners to resist Fandango's push into its territory. Quantum has a theater network that includes 36,897 screens. Fandango, which is part of NBC Universal, handles ticketing for about 21,000 screens.",0.0507614213,0.0152284264,1,0
275,460,The New York Times,"August 16, 2013",Dell's Profit Declines 72% On Sluggish Sales of PCs,Late Edition - Final,Section B; Column 0; Business/Financial Desk; Pg. 3,By BRIAN X. CHEN,ENGLISH,Newspaper,648 words,"SAN FRANCISCO -- Decades ago, Dell gained fame as a maker of affordable, customizable computers. But it missed the industrywide shift toward smartphones and tablets. The company's financial earnings report on Thursday reflected that mistake. Dell reported net income of $204 million for its fiscal second quarter, down 72 percent from the same quarter a year ago. Revenue was $14.5 billion, about flat from the same period a year ago, but better than the $14.18 billion that Wall Street had expected, according to a survey of analysts by Thomson Reuters. On an adjusted basis, excluding certain costs, charges and other items, Dell's net income was 25 cents a share, a penny better than expectations, according to Thomson Reuters. ''In a challenging environment, we remain committed to our strategy and our customers, and we're encouraged by increasing customer interest in our end-to-end solutions offerings and continued growth in our Enterprise Solutions, Services and Software businesses,'' Brian Gladden, Dell's chief financial officer, said in a statement. Dell's shrinking income mirrors slowing sales of personal computers at a time when many people are buying tablets instead. To keep its momentum going, Dell cut prices for many of its products but sacrificed profit margins. The company's revenue for its end-user computing business, which includes personal computers, accessories and third-party software, was $9.1 billion, down 5 percent from the year-earlier period. Shipments of PCs were down slightly from last year. For the second quarter, Dell shipped about 8.98 million PCs, compared with 9.35 million in the year-earlier period, according to Gartner, the research firm. Dell remains the No. 3 PC seller with about 12 percent of the market, trailing Lenovo, which has 16.7 percent and Hewlett-Packard, with 16.3 percent. IDC, another research firm, noted that Dell's shipments over the quarter improved in the United States, where it climbed above 3.8 million units for the first time since 2011. However, sales struggled in the Asia-Pacific region, excluding Japan, IDC said. The one area that showed strong growth for Dell was enterprise computing, which brought in revenue of $3.3 billion, up 8 percent from the quarter a year ago. Revenue grew from sales of networking hardware and server equipment. Dell is not the only company that is watching computer sales evaporate. Sales of personal computers worldwide dropped to 76 million in the second quarter, a 10.9 percent decrease from the year-earlier quarter, according to Gartner. Mikako Kitagawa, a Gartner analyst, said low-cost tablets were eating into the sales of low-end PCs in mature markets. In economically disadvantaged markets, a cheaper tablet is the first computing device many people buy, she added. ''While Windows 8 has been blamed by some as the reason for the PC market's decline,'' Ms. Kitigawa said, ''we believe this is unfounded.'' She said Windows 8 did not explain why the decline had been happening for several quarters, nor did it address why sales of Apple's personal computers, which run exclusive Mac software instead of Windows, were shrinking as well. Dell reported earnings against the backdrop of a proposal from its founder, Michael Dell, to take the company private. His plan is to refocus the company on cloud computing by selling crucial components like networking hardware, servers, storage and software, without the pressure of Wall Street. Mr. Dell's offer has run into opposition, namely from Carl C. Icahn, the billionaire activist investor who says the founder is trying to buy the company for less than it is worth. Mr. Icahn recently sued the board over its decision to accept a higher buyout offer from Mr. Dell in exchange for changing the rules for voting on the deal. The company's shareholders are scheduled to vote on Mr. Dell's bid of $24.4 billion, or $13.65 a share, on Sept. 12.",0.0256410256,0.0256410256,1,0
279,469,The New York Times,"April 21, 2013",Turning Toward the Sun,Late Edition - Final,Section BU; Column 0; Money and Business/Financial Desk; THE BOSS; Pg. 9,By LYNDON RIVE.,ENGLISH,Newspaper,601 words,"As told to Elizabeth Olson.  I WAS born in Pretoria, South Africa. My father was a chiropractor, and my mother operated a massage therapy college where students came to learn reflexology, massage techniques and natural health therapy. I'm the youngest of three boys, and I have a younger sister. By age 12, I was teaching ballroom dancing at my aunt's dance studio. Jazz was my favorite music. When I was 17, I began my first business, which distributed homeopathic medications, and spent a fair amount of time on the road visiting communities to sell them. I almost got expelled from school because I was attending so few classes. But I did graduate, thanks to the good graces of the principal. In June 1998, I traveled to San Jose, Calif., to play for South Africa's national team competing in the underwater hockey world championships. In underwater hockey, players wear a mask, fins and a snorkel, and dive to the bottom of the pool and compete to pass the puck. I became interested in the sport, which is fast-moving and great fun, because my brother Peter also played. I liked California so much that I decided to move to the United States to start a technology business. Together with my older brother Russell, who had been working in Silicon Valley, we started a company called Everdream that provided software for companies to maintain their computers remotely. At first, the two of us ran the company from our rented house in Santa Cruz, Calif., and the next year, in 1999, we secured our first funding. Soon after that, our brother Peter, a software engineer, joined the business. Eventually, we realized that our stand-alone business model was not feasible for the long term. In 2007, the company was acquired by one of our corporate partners, Dell Inc. Even before the sale, we had been working on an idea for a solar business. Our cousin, Elon Musk (our mothers are twins), who founded PayPal, suggested that we investigate clean energy. We started SolarCity on July 4, 2006, to symbolize our commitment to becoming independent of fossil fuels. Elon, who is the chief executive of SpaceX (the Space Exploration Technologies Corporation), and of the all-electric car company Tesla Motors, is chairman of SolarCity. We decided to build on our expertise in providing remote services and to focus on distributing solar energy. We install solar panels free, then sell the energy they generate to customers, often at a lower rate than they pay their utility providers. We have more than $1.7 billion in backing from investors including banks and companies like Honda North America and Google. We have grown to more than 2,800 employees in 14 states. Last December, SolarCity began trading publicly. We also provide solar services to large companies, including eBay, Walgreen and Wal-Mart Stores, to more than 300 schools and universities and to more than two dozen home builders. We recently helped a school district in the Central Valley of California convert to solar power, and save enough on its energy bills to be able to resuscitate its music program. But we still have a long way to go, because solar energy supplies less than 1 percent of America's energy needs. Tax incentives, just as they have for most energy sources of the past century, have helped make solar energy affordable and attract investors needed to expand operations. My other job is being the father to two young boys, 4 and 5. Their mother is my wife, Madeleine, who was my high school sweetheart. In my spare time, I still love to play underwater hockey, but my mission is to change the way people get their electricity and provide more affordable clean energy.",0.0370967742,0.0032258065,1,0
286,479,The New York Times,"June 1, 2013",A Reading Of Relief At Annual Book Show,Late Edition - Final,Section C; Column 0; The Arts/Cultural Desk; Pg. 1,By JULIE BOSMAN,ENGLISH,Newspaper,912 words,"E-book sales are no longer growing at a nerve-rattling pace. The unpleasant and expensive price-fixing lawsuit last year, pitting the Justice Department against five major publishers, has been settled. Independent booksellers added 65 stores to their ranks in 2012, according to their trade association, despite competition from Amazon. After a turbulent few years in the book business, there was a feeling at BookExpo America, the publishing industry's annual trade convention that convened in New York this week, that the disruption might have calmed. ''I'm hearing this gigantic sigh of relief everywhere I go in B.E.A. this year,'' Michael Pietsch, the newly installed chief executive of Hachette Book Group, said in a panel discussion. ''We're still here. People are no longer quite as anxious that the world is turning upside down.'' The event, which ends on Saturday, drew a crowd of 20,000 publishers, authors, agents, bookstore owners and librarians to the Jacob K. Javits Convention Center. The trade show had barely opened on Wednesday when publishing executives who had trekked there began to roll their eyes at the center's familiar annoyances. ''Good old Javits,'' Reagan Arthur, the publisher of Little, Brown, wrote on Twitter. ''Horrible sight lines, minimal Internet access and $4 Diet Cokes.'' But gentle mocking gave way to the usual enthusiasm that permeates the convention, an event whose original purpose was partly to give bookstores the chance to order books for the fall season. It has evolved into something equally old-fashioned: a huge gathering for the book industry to talk up titles, showcase high-profile authors and try to build elusive buzz for promising books. This year, the lineup of celebrity authors included Chelsea Handler, there to promote ''Uganda Be Kidding Me,'' a travelogue; Helen Fielding, whose third Bridget Jones novel, ''Mad About the Boy,'' is scheduled for release in the fall; and Elizabeth Gilbert, the author of ''Eat, Pray, Love,'' who has written a new novel, ''The Signature of All Things,'' her first in 13 years. On the sprawling exhibit floor, publishers big and small rubbed elbows. Near Random House's mammoth booth, the comparatively tiny Omnific Publishing promoted its titles with the slogan ''Romance ... Without Rules.'' Shadow Mountain, a Utah-based publishing company, advertised ''The Romney Family Table,'' by Ann Romney, a collection of stories and recipes offering ''a peek inside Romney family life and the food that has become an essential part of those memories.'' HarperCollins, pumping up one of its new authors, sponsored a gargantuan hanging billboard advertising a book by Mitch Albom that will be released in the fall. In the autograph area on Friday, fans lined up to meet Rick Riordan, Cassandra Clare and Walter Dean Myers. ''When you work in a library, you constantly hear that print is dying, and then you come here and feel so much energy,'' said Barbara Moralis, a librarian at Northampton Community College in Bethlehem, Pa., as she waited in a long line to meet the author Andrew Gross. ''Publishing is not dead.'' There were, in fact, several signs of health in an industry that has been buffeted by change in recent years. Oren Teicher, the chief executive of the American Booksellers Association, said unit sales for independents increased nearly 8 percent in 2012. E-book sales, while still growing rapidly in the industry as a whole, have plateaued for some publishers. This provides more stability than the run-amok sales of previous years and gives publishers more clarity about consumers' book-buying habits. BookStats, a survey of the industry released last month, revealed that e-books now account for 20 percent of publishers' revenues, up from 15 percent in 2011. ''It seems like the growth rate of e-books has slowed,'' said Carolyn Reidy, the chief executive of Simon & Schuster. While there was the usual tut-tutting about Amazon -- Becky Anderson, a co-owner of Anderson's Bookshops, outside Chicago, referred to it as ''the company that shall not be named'' -- there was also no booth on the exhibit floor from the New York-based unit of Amazon Publishing, which caused much fear and consternation in the industry when it was founded two years ago. In a panel titled ''Publishing, Bookselling and the Whole Damn Thing,'' John Sargent, the chief executive of Macmillan, called Attorney General Eric Holder ''incompetent,'' a comment on the Justice Department antitrust lawsuit against Apple and five publishing companies filed last year. Apple, the only remaining defendant, will go on trial in federal court next week. But Mr. Sargent said the industry seemed to have stabilized. ''I was much more pessimistic a year and a half ago than I was now,'' he said. The organizers have invited members of the public on Saturday, for the second year in a row, to a ''Power Readers'' program that is intended to help build word of mouth for books beyond the industry. This year the organizers of the event were expecting 2,000 outsiders, a significant increase over 2012, when 500 attended. Authors, speaking to throngs of starry-eyed booksellers, did their best to rev up the crowds. At a breakfast attended by 1,000 on Thursday, Wally Lamb, the author of the forthcoming novel ''We Are Water,'' finished his remarks with a paean to booksellers. ''Writers and readers are two poles, apart from each other,'' he said. ''And you, ladies and gentlemen, are the electricity that connects us.''",0.0305775764,0.0305775764,1,0
295,490,The New York Times,"February 2, 2013",Panasonic Swings To a Profit After Cost Cuts,The New York Times on the Web,Section ; Column 0; Business/Financial Desk; BUSINESS BRIEFING | COMPANIES; Pg.,By THE ASSOCIATED PRESS,ENGLISH,Newspaper,119 words,"  The Japanese electronics maker Panasonic returned to the black last quarter as cost cuts and a weaker yen offset sliding sales. Panasonic is among the Japanese electronics makers battered by price plunges in gadgets and hot competition from more successful rivals Apple in the United States and Samsung Electronics of South Korea. Panasonic reported a 61.4 billion yen ($667 million) profit for the October-December period Friday. It had a loss of 197.6 billion yen ($2.1 billion) a year earlier. Quarterly sales slipped 8 percent to 1.8 trillion yen ($19.6 billion). The company said global demand weakened for flat-panel TVs and digital products and devices, but sales grew in LED lighting and auto-related equipment.",0.0434782609,0.0434782609,1,0
