headline,date,lead_paragraph,id,word_count
"Louise Westergaard, Broadway Producer Of Revues, Dies at 67",2005-05-13,"Louise Westergaard O'Neil, a theatrical producer best known for the hit Broadway musical revue ''Sophisticated Ladies,'' died on May 6 in New York. She was 67 and lived in Manhattan. The cause was leukemia, her family said.",4fd25af78eb7c8105d8080a5,277
"A Venerable Survivor, Rediscovering Castaway Songs",2005-09-16,"Marian McPartland climbed the stage unsteadily at Dizzy's Club Coca-Cola on Tuesday night, and apologized for her sensible shoes. The pianist, who is 87, explained that she had injured her ankle falling down some stairs; she had a bad knee already. ''So now I don't have a leg to stand on,'' she said. Characteristically, Ms. McPartland played the line not for sympathy but for laughs. Then she turned to the piano and began a solo performance that cast all thoughts of frailty aside. Ms. McPartland has been one of the most widely heard jazz pianists of the last 25 years, but not by the usual means. As creator and host of the weekly radio show ''Piano Jazz,'' heard on NPR, she has engaged hundreds of musicians in dialogue of both the verbal and musical sort, instructing untold thousands of listeners along the way. Informative but never pedagogical, she has stood for the notion that jazz, whatever its claims as an American treasure, should feel breezy and alive.",4fd2a9068eb7c8105d893fdf,497
No Headline,2005-09-16,"Marian McPartland climbed the stage unsteadily at Dizzy's Club Coca-Cola on Tuesday night, and apologized for her sensible shoes. The pianist, who is 87, explained that she had injured her ankle falling down some stairs; she had a bad knee already. ''So now I don't have a leg to stand on,'' she said. Characteristically, Ms. McPartland played the line not for sympathy but for laughs. Then she turned to the piano and began a solo performance that cast all thoughts of frailty aside. Ms. McPartland has been one of the most widely heard jazz pianists of the last 25 years, but not by the usual means. As creator and host of the weekly radio show ''Piano Jazz,'' heard on NPR, she has engaged hundreds of musicians in dialogue of both the verbal and musical sort, instructing untold thousands of listeners along the way. Informative but never pedagogical, she has stood for the notion that jazz, whatever its claims as an American treasure, should feel breezy and alive.",4fd24d688eb7c8105d7ee108,495
A Choreographer Employs Past Ballets as Prologue,2005-06-16,"Pascal Rioult doesn't make dances as much as remake them, using famous works and their scores as his points of departure. In his latest program, seen Tuesday at the Joyce Theater, Mr. Rioult takes on Stravinsky: ''Les Noces'' is a modernized marriage ritual, while ''Firebird'' (2003) is an earnest exploration of good and evil in which a bird -- portrayed by a young girl -- transports a group of jaded souls to a place of innocence and rebirth. The premiere of ''Les Noces,'' a portrait of sexual discovery, was blessedly the less preachy of the two. Just as Bronislava Nijinska did in 1923 with her original seminal ballet about a Russian peasant wedding, Mr. Rioult explores a marriage rite. In his version, there isn't one bride and groom, but four of each, trapped between desire and a fear of commitment.",4fd284b88eb7c8105d8540e5,365
Keepers Of the Flame Pay Tribute To an Original,2005-11-16,"If any cabaret entertainer could be named the artistic heir to the irreplaceable Bobby Short, the most likely candidate is probably Michael Feinstein, the singer, pianist and musical archivist, who is so busy he sometimes seems to be performing on several New York stages at once. Fundamental differences make that lineage far from obvious. Mr. Short, who died in March, was African-American, and Mr. Feinstein is Jewish. Mr. Short was a hi-de-ho jazz entertainer who worshiped Duke Ellington, while Mr. Feinstein kneels at the altar of George Gershwin. One crowed; the other croons.",4fd24e228eb7c8105d7ef639,440
"Chris Griffin, 89, Trumpeter Who Played in Historic Concert",2005-06-25,"Chris Griffin, a trumpet player who was heard at Carnegie Hall with Benny Goodman and in millions of living rooms with the orchestras on the Ed Sullivan and Jackie Gleason shows, died on June 18 in Danbury, Conn. He was 89 and lived in Southbury, Conn. The cause was melanoma, said his fiancée, Louise Baranger.",4fd25e958eb7c8105d80df35,394
An Ace in the Hole,2005-12-03,"PERHAPS more than most people, I was shocked by the news this week about Representative Randy Cunningham of California. For me, it wasn't just about being disappointed in a man who accepted among other things a Rolls-Royce, Persian rugs, a lavish graduation party for his daughter and a yacht in exchange for political favors; it was much deeper. For me, it was about not just the fall but the complete and utter collapse of my hero. From my perspective, Randy Cunningham, known universally as Duke, wasn't really a Congressman from California -- he was a naval aviator, a decorated Vietnam veteran, winner of the Navy Cross. He flew the F-4 Phantom fighter jet and shot down five enemy aircraft during the war. Those five downed jets made him an ace -- a term that hummed with coolness. Eddie Rickenbacker was an ace. Chuck Yeager was an ace. Snoopy was an ace.",4fd24fd28eb7c8105d7f28ae,980
The Musical Odyssey of Min Xiao-Fen,2005-03-03,"In his well-known Norton lectures at Harvard in 1973, ''The Unanswered Question,'' Leonard Bernstein asked, ''Whither music in our time?'' The influences of Schoenberg and Stravinsky were duly pondered; the question remained unanswered. Today, at the beginning of the 21st century, the answer is all around us. The future is global. Non-European and popular music, not 12-tone rows and Neo-Classicism, are what have refreshed and expanded the musical traditions Bernstein held dear. Composers like Steve Reich, Philip Glass and John Adams, none of whom can be called classical musicians, are one part of ''postclassical'' music. And legions of young conductors and instrumentalists have broader, less Eurocentric worldviews than their elders.",4fd245ff8eb7c8105d7e0a32,1369
"Sydney Leff, 104, Artist With an Eye for Music",2005-12-18,"Sydney Leff, a commercial artist who was almost certainly the last surviving illustrator of sheet music from the golden age of Tin Pan Alley, died on Dec. 10 at his home in Ossining, N.Y. He was 104 and had lived for many years in West Palm Beach, Fla. Mr. Leff's son-in-law Alfred Miller confirmed the death.",4fd2aa028eb7c8105d895af2,717
"Next Up, Headbanger's Fugue (in G Minor)",2005-02-06,"WHEN a group of musicians in their 20's decided to form a band three years ago, they made sure to include some standard covers in their roster. There is Lennon. Zeppelin. A dash of Ellington. And, of course, Beethoven. The somewhat eclectic musical selection is not the most distinctive feature of the group, the Artemis Chamber Ensemble. There are the constant regroupings on stage by black-clad musicians, who flow on and off the stage as they first play a quartet, for example, then a duo, and then a piece for 15 players.",4fd2571a8eb7c8105d801261,727
"Paid Notice: Deaths   BURDICK, RICHARD",2005-03-27,"BURDICK--Richard. A great loss is felt by our family and his many friends at the passing of Richard Smith Burdick, 88, on March 17, 2005 in Austin, Texas. He was predeceased by his wife of 54 years, Betty. He leaves his beloved fiance, Sherry Browne. He was the loving Father of Dorene and Bruce Burdick, and of daughter-inlaw Gwenellen; proud grandfather of Surya, Michelle, Orion, Douglass, and Melissa, and great-grandfather of Riley, Wolfie, Jake, and Amelie. He is also survived by his adored sister, Loyce and his close cousins, the Smiths: Penny, Ron, and Pat; and by the Coons cousins. Richard Burdick was born in Pittsfield, Mass. in 1916 among his treasured Berkshire Hills. A magician and writer even as a boy, he spent his stint in the Army as cowriter of This Is the Army with Irving Berlin. During that time he also wrote many stage musicals, radio dramas, and short stories. In the lifetime of a multifaceted career -writer, producer, actor, director, composer-lyricist, magician, and broadcasting executive -he enjoyed singular encounters with a mosaic of celebrated people: Ethel Barrymore, Mae West, Max Baer, Joe Louis, Tallulah Bankhead, Jimmy Durante, Gary Merrill, Helen Hayes, Kay Kyser, Dinah Shore, Duke Ellington, Dr. Dinton Cooley, Eleanor Roosevelt, President Truman, Reverend Billy Graham, and Dr. Timothy Johnson. Richard Burdick was a visionary pioneer in public broadcasting. He was a theatrical director and operations manager in early radio and he helped launch one of the first educational TV stations in the country -WUNC-TV in Chapel Hill, N.C. Following this, he was managing director at the public TV station WHYY in Philadelphia, always contributing original scripts. He was on the founding management team of WCVB , one of the top-rated TV stations in Boston which produced great quality, quantity, and diversity of local programming, and which the NY Times called the finest commercial TV station in America. He became a board member, contributing playwright ( of eleven plays), and supporter of Florida Studio Theater in Sarasota, Florida and also was cherished by other theatres including Shakespeare & Co. in Lenox, Mass. where he was a Founding Trustee member and where he contributed three plays. Richard had a talent for living, an unflagging and exceptional creative drive, and a generosity of spirit and mind that was highly motivating to his family, friends and associates. In his autobiography entitled: Next Time I Want To Come Back As a Yellow Bird, he opens with his usual flourish and excitement, asking ''Do you believe in magic?'' and he clearly did delight in Life's great mystery and drama; and always with his unique, Burdick wit. He closed the book with this comment: '' ...as the river of Life continues its eternal flow, my personal tributary will rejoin it on its way back to the source.'' A memorial gathering will take place in May in his home town of Pittsfield, Mass., details to be finalized soon. Cards can be sent to Sherry Browne, 8408 Hayes Lane, Austin, Texas 78759",4fd2a5e48eb7c8105d88e03c,499
"Arts, Briefly",2005-02-08,"More Marley in Africa? Will a tribute to Bob Marley become an annual event in Africa? Could be, was the answer yesterday from organizers of the concert that drew an estimated 200,000 people to Addis Ababa, the Ethiopian capital, on Sundayto celebrate the 60th anniversary of the birth of Marley, the Jamaican reggae star who died in 1981. Flanked by Lauryn Hill, left, and Angélique Kidjo, who performed at the tribute, Desta Meghoo-Peddie, the director of the Bob Marley Foundation, said at a news conference in Addis Ababa, ''It's our hope that we're taking this concert to a different African country, and that's the plan on the drawing board,'' Reuters reported. U2, Feeling Sorry The U2 drummer Larry Mullen, below, has posted a letter on the band's Web site offering refunds to members of its subscription service who had hoped to buy tickets for its American tour. They were to have the first chance to buy tickets, but the opportunity didn't work as planned. ''The idea that our longtime U2 fans and scalpers competed for U2 tickets through our own Web site is appalling to me,'' Mr. Mullen wrote. The coast-to-coast tour is to bring the band to the Continental Airlines Arena in East Rutherford, N.J., on May 17 and 18 and to Madison Square Garden on May 21. Rehabilitating Macbeth Did Shakespeare, below, defame Macbeth? Yes, says a group of members of the Scottish Parliament, Reuters reported. On the occasion of the 1,000th anniversary of the birth of Macbeth, the Scottish king who reigned from 1040 to 1057, the legislators are seeking to restore his reputation, blackened by Shakespeare's 400-year-old tragedy, which portrays him as a murderer tormented by the prophesies of witches who is eventually reduced to madness before being killed himself. ''He was perceived as a good king who stabilized the country and has since been maligned by Shakespeare's play,'' said Alex Johnstone, one of the group seeking a commemoration of Macbeth's birth. ''In a time of war, he unified the country and promoted Christianity.'' He said Shakespeare wrote to play to appeal to King James VI, who, he said, believed in witches. Footnotes Special Edgar Awards will be presented to David Chase, the creator of ''The Sopranos,'' and to Tom Fontana, creator of ''Oz'' and ''The Jury,'' when the Mystery Writers of America holds its annual gala banquet at the Grand Hyatt Hotel in Manhattan on April 28. . . . It's back to the days of Django Reinhardt, Stéphane Grappelli and the Quintette du Hot Club de France when the violinist Mark O'Connor and his Hot Swing Trio perform in Carnegie Hall at the New York Pops Concert on Feb. 18 at 8 p.m. Skitch Henderson's concert also features the jazz vocalist Tierney Sutton and her trio, interpreting the songs of Lerner and Loewe, Irving Berlin, Harold Arlen and Arthur Schwartz. . . . Plácido Domingo will sing at Copenhagen's new opera house on April 7 in a prelude to its new production of Wagner's ''Ring'' cycle, Reuters reported. . . . The music of Eubie Blake, Duke Ellington and Billy Strayhorn and the lyrics of Andy Razaf and Noble Sissle, as well as poetry and prose by Langston Hughes and W.E.B. Du Bois, will be celebrated when Lincoln Center's American Songbook presents ''At Harlem's Height,'' a New York Festival of Song program focused on the Harlem Renaissance, at the Rose Theater at Jazz at Lincoln Center on Feb. 23 at 8 p.m.",4fd245f98eb7c8105d7e06c9,578
Departing the Mainstream To Meld Intriguing Currents,2005-03-24,"When Ted Nash started his own band, Odeon, a few years ago, he set off a nice, small explosion of a stereotype. Mr. Nash appeared to be a jazz traditionalist, a saxophonist of great dexterity and refinement in the Lincoln Center Jazz Orchestra, one of the crew who spent much of their working lives finessing Ellington, Basie and the rest of what you might call the jazz canon. Stereotypes are always worth squashing. Jazz musicians should never be read by their covers: inside every musician who seems a hardcore bebopper or avant-gardist or whatever, there are dozens of interests at play. And making all those interests evident in one's music at the same time is basically the new challenge in jazz.",4fd246078eb7c8105d7e0e79,495
THE GUIDE,2005-04-24,"Architectural Visions Daniel Libeskind, designer of the Park of Heroes and the Wedge of Light for the World Trade Center site, will be the speaker at the Open Visions Forum at Fairfield University on Wednesday at 8 p.m. in the Quick Center for the Arts. The program, ''A Vision for the Future: Daniel Libeskind on Architecture, Art and Urban Life,'' had been scheduled in January, but was postponed because of a snowstorm.",4fd25af28eb7c8105d807e7d,515
This Trombonist Doesn't Need a Lot of Notes,2005-10-06,"Delfeayo Marsalis began his six-night run at Dizzy's Club Coca-Cola on Tuesday with something he introduced as ''one of the greatest tunes ever written.'' It was ''C-Jam Blues,'' from the Duke Ellington songbook: a laconic riff piece, based on a single interval. It's a masterwork, Mr. Marsalis explained, ''because it uses the least amount of notes of any song.'' That playfully reductive philosophy goes a long way toward explaining Mr. Marsalis, a first-rate trombonist with a bewilderingly low-key solo career. For 20 years, he has worked extensively as a producer and sideman with artists like the drummer Elvin Jones, the singer Ruth Brown and every musical member of his family. But in all that time, he has issued only two albums as a leader, the last one nearly a decade ago. Considering the prolific output of his older brothers, Branford and Wynton, it's a shockingly minimalist oeuvre.",4fd24e1c8eb7c8105d7ef0ba,500
On the Cover,2005-12-25,"ANYBODY can make a documentary about art that will appeal to art lovers. The filmmakers behind ''Imagining America: Icons of 20th-Century American Art'' were striving for something more difficult: a film that would interest the uninitiated as well, conveying why Georgia O'Keeffe, Jackson Pollock, Andy Warhol and other artistic giants of the last century are relevant to everyone. ''One of my original goals was to take people who are somewhat familiar as icons and humanize them, make them feel like people who you'd like to know and would like to know more about,'' said John Carlin, who conceived and wrote the film with Jonathan Fineberg (with Hart Perry directing). To that end, rather than rely only on experts explaining the importance of these artists, he used a considerable amount of archival film of the artists themselves.",4fd24e768eb7c8105d7f025c,541
A Little Nostalgia and a Lot of Unruly Trombone,2005-11-22,"The big, braying sound of Roswell Rudd's trombone has been a prominent feature of jazz's avant-garde landscape for more than 40 years. It still has a way of turning up in strange places: Mr. Rudd's latest album, ''Blue Mongol'' (Sunnyside), puts him in touch with Buryat throat singers from Mongolia. On Sunday afternoon at the Rubin Museum of Art in New York, he went for something more familiar -- although, in a way, almost as uncommon. For a celebration of his 70th birthday, he reunited with Eli's Chosen Six, the Dixieland band from his student days at Yale. A boisterous bunch of white revivalists, Eli's Chosen Six had its hot minute in the mid-1950's, when ''college jazz'' suggested a catchphrase rather than a curriculum. With the help of the producer and Yale alumnus George Avakian, the band recorded an album for Columbia Records in 1955, and it appeared a few years later in the film ''Jazz on a Summer's Day.'' (Mr. Rudd missed the shoot, which would have involved zipping around Newport, R.I., in a convertible jalopy.) In the years since, the group has performed sporadically -- and almost always without Mr. Rudd, by far the most prominent musician to have emerged from its ranks.",4fd24e238eb7c8105d7ef76f,497
Clarence Gatemouth Brown Dies at 81,2005-09-12,"Clarence Gatemouth Brown, an eminent guitarist and singer who spent his career fighting purism by synthesizing old blues, country, jazz, Cajun and R&B styles, died on Saturday. He was 81. His death was confirmed by Rick Cady, his booking agent, who said Mr. Brown had suffered from lung cancer and heart disease.",4fd260fa8eb7c8105d811ca7,775
The Song of Himself,2005-03-27,"''DON'T you look grand!'' Bobby Short shouted from behind the piano at the Café Carlyle this past December. The packed, cheering house of 100 looked grand indeed on a weeknight, with a $95 cover charge. After his 36 seasons in that room, people were anything but tired of the 80-year-old grandfather of cabaret. Mr. Short's cane was stashed away near the bar; under the spotlight, he showed no signs of the neuropathy that had left him with wobbly, aching legs. As for a singing voice worn down by 60 years of saloon work, he blustered through the gravel with such gusto that a New York Times headline of 2001 called him ''ageless as springtime.''",4fd257228eb7c8105d8019cf,1235
Bebop Spoken Here,2005-05-15,BEBOP EXPRESS Written by H. L. Panahi. Illustrated by Steve Johnson and Lou Fancher. Unpaged. Amistad/Laura Geringer Books/ HarperCollins Publishers. $15.99. (Ages 3 to 8) HOT JAZZ SPECIAL Written and illustrated by Jonny Hannah. Unpaged. Candlewick Press. $16.99. (Ages 6 to 10),4fd25c7b8eb7c8105d809eaf,1098
Pieces of Jazz History Head to Auction Block,2005-01-20,"There is Charlie Parker's King alto saxophone, with mother-of-pearl keys, his primary horn in the 1950's. There is Benny Goodman's clarinet, John Coltrane's soprano and tenor saxophones, Gerry Mulligan's baritone. Thelonious Monk's tailored jacket. A ribald 27-page letter from Louis Armstrong to his manager. One of Ornette Coleman's notebooks from the late 1950's, with his practice exercises and, on one of the last pages, one of his greatest compositions, ''Focus on Sanity,'' written in pencil. Home movies of Coltrane shoveling snow outside his house in Philadelphia in the late 1950's. Charlie Parker concert recordings made by his wife, Chan, and high school book reports by Monk. On Feb. 20 at the Allen Room in Jazz at Lincoln Center's Rose Hall, Guernsey's Auction House will put all these items, and many others, on the block at a special jazz auction. Previews will be held on Feb. 18 and 19, but Guernsey's would not estimate how much the auction will make.",4fd2a5708eb7c8105d88d435,1153
The Song of Himself,2005-03-27,"''DON'T you look grand!'' Bobby Short shouted from behind the piano at the Café Carlyle this past December. The packed, cheering house of 100 looked grand indeed on a weeknight, with a $95 cover charge. After his 36 seasons in that room, people were anything but tired of the 80-year-old grandfather of cabaret. Mr. Short's cane was stashed away near the bar; under the spotlight, he showed no signs of the neuropathy that had left him with wobbly, aching legs. As for a singing voice worn down by 60 years of saloon work, he blustered through the gravel with such gusto that a New York Times headline of 2001 called him ''ageless as springtime.''",4fd283a78eb7c8105d85224a,1236
"Grant Johannesen, Unorthodox Pianist, Is Dead at 83",2005-03-30,"Grant Johannesen, a pianist best known as an elegant interpreter of early-20th-century French music, died on Sunday at a friend's home near Munich. He was 83 and lived in New York and Palm Beach, Fla. His son, David Johannesen, announced the death.",4fd244428eb7c8105d7dea7f,768
Eminent Disdain,2005-07-09,"WITH all the debate over who will replace Justice Sandra Day O'Connor, one of the most shocking Supreme Court decisions in recent history has disappeared from the headlines. And that's a shame because it's a ruling that has huge implications for urban communities. In a 5-to-4 decision, the Supreme Court last month cleared the way for the City of New London, Conn., to proceed with a plan to replace a faded residential waterfront neighborhood with office space, a hotel, a conference center and luxury apartments. Now the holdout owners of 11 residential properties will have to join the dozens of owners of houses and stores in the 90-acre neighborhood who have already fled. Two cafes, a deli, an auto body shop, a lobster business and a church have been closed.",4fd284ba8eb7c8105d8542c9,826
Sometimes a Soundtrack Is Just a Soundtrack,2005-06-05,"THE English composer Benedict Mason says he would like to hear the music of his ''ChaplinOperas'' all by itself, free and clear of the three Charlie Chaplin films for which it made such a charming partner at the Rose Theater recently. I don't think I would. Mr. Mason's raucous polyglot of instruments, song and narration served the moving image with precision, his skill at lining up eye movement with ear movement a wonder of applied art all in itself. Yet the music of ''ChaplinOperas'' ends up as one more active mechanism in a larger machine. Music like this, removed and isolated, is like a car motor unhooked from its crankshaft. The pistons go up and down very nicely, but we are not being taken anywhere.",4fd248728eb7c8105d7e4c64,868
"Where Lady Day Sleeps, A Jazz Tradition Awakes",2005-03-13,"In an empty room in Harlem, there is a 57-year-old mural of four men playing jazz and a woman face-down on a bed. The man on guitar is Charlie Christian, it is said, the virtuoso who learned to pick and strum almost before he learned to walk. The man on clarinet is Tony Scott, who helped bring be-bop to the woodwinds. No one is quite sure who is playing the whisk drums, but the trumpeter is almost certainly Hot Lips Page, the masterly Texas sideman. As for the woman, the story goes that it is Billie Holiday, sleeping off a drunk.",4fd246038eb7c8105d7e0c69,774
"Mitzi Yates, Rafael Lizárraga",2005-05-01,"Mitzi Maria Yates and Rafael Juan Castro Lizárraga were married yesterday by the Rev. John Francis Payne at St. Augustine Roman Catholic Church in Washington. The bride, 50, is the principal of the Duke Ellington School of the Arts, a public high school in Washington. She graduated from New York University and received a master's degree in liberal studies from Wesleyan University in Middletown, Conn. Her two previous marriages ended in divorce. She is a daughter of Jaunice and Francis R. Yates of Washington.",4fd2a6548eb7c8105d88ea1f,656
A Monday-Night Institution Stages a Weeklong Bash,2005-05-10,"Forty years ago, an important jazz group started with a rejection. In 1965, Count Basie turned down a sheaf of arrangements written for him by Thad Jones, the great trumpeter, who was in his big band. They were too far afield from the Basie band's customary style. Jones responded by rehearsing 18 musicians to play them, asking the drummer Mel Lewis to be co-pilot. It was to be a part-time band, a release valve for studio-bound musicians. Jazz clubs were generally closed on Monday nights, but Max Gordon, owner of the Village Vanguard, opened his club for them to perform on Feb. 7, 1966, and promised the following Monday as well.",4fd2a6588eb7c8105d88eb33,814
A Life Led On Jazz Standard Time,2005-02-06,"IT seems fitting, really, that the jazz pianist Bill Charlap, widely considered to be one of the foremost interpreters of the classic American popular song (think Gershwin, Porter, Berlin), should live in an elegant old brick apartment building in Summit, with ivy creeping up the walls and a gaslight glowing in the courtyard. Inside Mr. Charlap's apartment, hundreds of CD's and albums -- carefully alphabetized and categorized -- line every available space on the walls. A stately black Steinway dominates the living room, where the bookshelf's titles range from Dizzy Gillespie's ''To Be or Not to Bop'' to a biography of Gershwin. The sleek audio system fills the room with the urgent music of the tormented but brilliant jazz pianist Bud Powell.",4fd2571a8eb7c8105d80125f,754
